"rls_sci_name";"GG_ref_nb";"GG_ref_cit"
"Arenigobius frenatus";69;3777
"Argyrosomus hololepidotus";808;25635
"Argyrosomus japonicus";2609;79392
"Arothron caeruleopunctatus";34;555
"Arothron diadematus";120;4171
"Arothron hispidus";987;22507
"Arothron inconditus";7;162
"Arothron manilensis";192;5285
"Arothron mappa";154;3510
"Arothron meleagris";615;17407
"Arothron nigropunctatus";385;8102
"Arothron stellatus";528;30460
"Arripis georgiana";535;14951
"Arripis trutta";1758;64588
"Arripis truttacea";440;11950
"Arripis xylabion";29;308
"Artedius harringtoni";191;5338
"Aspasmogaster tasmaniensis";18;196
"Aspidontus dussumieri";73;2170
"Aspidontus taeniatus";303;25293
"Assessor flavissimus";11;300
"Assessor macneilli";38;1554
"Assessor randalli";14;734
"Assiculus punctatus";23;260
"Asterropteryx striata";10;150
"Atherina hepsetus";562;12768
"Atherina presbyter";1283;31026
"Atherinomorus vaigiensis";219;8897
"Atractoscion aequidens";484;15247
"Atrosalarias holomelas";41;1337
"Atule mate";883;14326
"Atypichthys latus";30;663
"Atypichthys strigatus";186;5885
"Aulacocephalus temminckii";79;2926
"Aulorhynchus flavidus";352;10789
"Austrolabrus maculatus";95;2192
"Axoclinus cocoensis";13;153
"Axoclinus lucillae";30;277
"Axoclinus multicinctus";12;96
"Axoclinus rubinoffi";13;67
"Azurina eupalama";60;4741
"Balistapus undulatus";866;24552
"Balistes capriscus";3100;67570
"Balistes polylepis";625;12808
"Balistes punctatus";115;1484
"Balistes vetula";1249;33314
"Balistoides conspicillum";341;5706
"Balistoides viridescens";550;10135
"Bathygobius krefftii";63;2914
"Bathygobius lineatus";36;670
"Bathystethus cultratus";21;430
"Batrachoides boulengeri";29;438
"Belone belone";2977;64688
"Belonoperca chabanaudi";77;2933
"Blenniella chrysospilos";59;2934
"Bodianus albotaeniatus";35;636
"Bodianus anthioides";155;4618
"Bodianus axillaris";284;7025
"Bodianus bilunulatus";272;10451
"Bodianus diana";189;4234
"Bodianus dictynna";18;257
"Bodianus diplotaenia";401;9888
"Bodianus eclancheri";44;1807
"Bodianus frenchii";118;4126
"Bodianus loxozonus";89;2875
"Bodianus mesothorax";166;3543
"Bodianus perditio";180;4128
"Bodianus rufus";923;29804
"Bodianus scrofa";164;2748
"Bodianus unimaculatus";75;1800
"Bolbometopon muricatum";1158;47001
"Boops boops";4176;115313
"Boopsoidea inornata";103;2139
"Boreogadus saida";4435;237625
"Bothragonus occidentalis";36;250
"Bovichtus angustifrons";58;1705
"Bovichtus argentinus";41;1348
"Brachaluteres jacksonianus";137;4459
"Brachionichthys hirsutus";83;3525
"Brachyistius frenatus";314;12115
"Bryaninops amplus";39;1147
"Bryaninops erythrops";22;1045
"Bryaninops natans";51;1984
"Bryaninops nexus";4;13
"Bryaninops yongei";85;2628
"Caesio caerulaurea";442;7627
"Caesio cuning";735;32180
"Caesio lunaris";235;4019
"Caesio striata";47;327
"Caesio suevica";43;589
"Caesio teres";303;6900
"Caesio varilineata";77;1571
"Caesio xanthonota";144;1716
"Caesioperca lepidoptera";188;5051
"Caesioperca rasor";88;2021
"Caesioscorpis theagenes";19;450
"Caffrogobius nudiceps";131;3913
"Calamus bajonado";380;13633
"Calamus brachysomus";353;5056
"Calamus calamus";593;13942
"Calamus pennatula";222;6175
"Calamus taurinus";24;716
"Callanthias australis";36;986
"Calliclinus geniguttatus";79;1630
"Callionymus comptus";3;18
"Callionymus lyra";1999;82981
"Calloplesiops altivelis";129;4814
"Calotomus carolinus";375;11064
"Calotomus japonicus";205;5727
"Calotomus spinidens";188;8724
"Calotomus viridescens";32;739
"Cantherhines dumerilii";258;5000
"Cantherhines fronticinctus";66;1141
"Cantherhines longicaudus";6;99
"Cantherhines macrocerus";331;8284
"Cantherhines pardalis";249;5049
"Cantherhines pullus";451;15328
"Cantherhines sandwichiensis";51;1209
"Cantheschenia grandisquamis";18;371
"Canthidermis maculata";557;14675
"Canthidermis sufflamen";467;9874
"Canthigaster amboinensis";133;4961
"Canthigaster axiologus";11;48
"Canthigaster bennetti";160;4759
"Canthigaster callisterna";39;684
"Canthigaster capistrata";57;832
"Canthigaster coronata";138;2631
"Canthigaster cyanetron";14;266
"Canthigaster epilampra";34;896
"Canthigaster figueiredoi";88;1532
"Canthigaster jactator";142;5675
"Canthigaster janthinoptera";101;3021
"Canthigaster marquesensis";5;29
"Canthigaster papua";48;732
"Canthigaster punctatissima";204;3936
"Canthigaster rapaensis";8;63
"Canthigaster rivulata";144;2527
"Canthigaster rostrata";669;20503
"Canthigaster sanctaehelenae";8;186
"Canthigaster smithae";26;430
"Canthigaster valentini";428;13165
"Caprodon longimanus";123;2887
"Caracanthus maculatus";84;2611
"Caracanthus typicus";16;306
"Caracanthus unipinna";118;2679
"Carangoides bajad";282;4374
"Carangoides chrysophrys";305;9340
"Carangoides ferdau";429;9203
"Carangoides fulvoguttatus";458;10062
"Carangoides gymnostethus";203;4435
"Carangoides orthogrammus";341;6603
"Carangoides plagiotaenia";139;2044
"Caranx bartholomaei";508;16610
"Caranx caballus";589;8668
"Caranx caninus";408;7313
"Caranx crysos";2270;43966
"Caranx ignobilis";2015;58275
"Caranx lugubris";812;15104
"Caranx melampygus";1602;46254
"Caranx papuensis";321;7053
"Caranx sexfasciatus";1718;31267
"Caulolatilus princeps";682;12876
"Centroberyx affinis";336;11235
"Centroberyx gerrardi";134;2575
"Centroberyx lineatus";72;1371
"Centrogenys vaigiensis";88;3001
"Centrolabrus exoletus";508;15395
"Centrolabrus melanocercus";277;10971
"Centropogon australis";191;8104
"Centropyge acanthops";87;2244
"Centropyge argi";222;9981
"Centropyge bicolor";437;15376
"Centropyge bispinosa";244;5670
"Centropyge eibli";91;1173
"Centropyge ferrugata";136;3574
"Centropyge fisheri";127;3247
"Centropyge flavissima";341;9618
"Centropyge heraldi";114;2298
"Centropyge hotumatua";31;439
"Centropyge joculator";31;527
"Centropyge loriculus";261;6571
"Centropyge multispinis";158;4624
"Centropyge nox";53;947
"Centropyge tibicen";162;3660
"Cephalopholis argus";1532;46354
"Cephalopholis boenak";645;12822
"Cephalopholis cruentata";900;28395
"Cephalopholis cyanostigma";263;7579
"Cephalopholis formosa";153;1258
"Cephalopholis fulva";1501;47504
"Cephalopholis hemistiktos";196;8392
"Cephalopholis leopardus";174;2870
"Cephalopholis microprion";109;1974
"Cephalopholis miniata";684;15264
"Cephalopholis panamensis";259;5302
"Cephalopholis sexmaculata";201;3597
"Cephalopholis sonnerati";393;5886
"Cephalopholis spiloparaea";160;3647
"Cephalopholis urodeta";490;9410
"Cetoscarus bicolor";523;16709
"Chaenopsis schmitti";14;383
"Chaetodermis penicilligerus";68;1264
"Chaetodipterus faber";2084;60220
"Chaetodipterus zonatus";261;4199
"Chaetodon adiergastos";78;1614
"Chaetodon andamanensis";31;735
"Chaetodon argentatus";42;2125
"Chaetodon assarius";49;1594
"Chaetodon aureofasciatus";155;8465
"Chaetodon auriga";1121;34847
"Chaetodon auripes";144;3387
"Chaetodon austriacus";207;7327
"Chaetodon baronessa";277;7764
"Chaetodon bennetti";222;6398
"Chaetodon capistratus";1005;34291
"Chaetodon citrinellus";421;11907
"Chaetodon collare";228;2935
"Chaetodon decussatus";105;980
"Chaetodon dolosus";45;414
"Chaetodon ephippium";338;9725
"Chaetodon falcula";126;3321
"Chaetodon fasciatus";128;3239
"Chaetodon flavirostris";133;4331
"Chaetodon guentheri";71;1633
"Chaetodon guttatissimus";151;3040
"Chaetodon humeralis";324;5061
"Chaetodon interruptus";51;827
"Chaetodon kleinii";550;12245
"Chaetodon lineolatus";374;9085
"Chaetodon litus";23;846
"Chaetodon lunula";898;25473
"Chaetodon lunulatus";392;9939
"Chaetodon madagaskariensis";107;2924
"Chaetodon marleyi";59;2564
"Chaetodon melannotus";468;15451
"Chaetodon mertensii";145;3755
"Chaetodon meyeri";236;5766
"Chaetodon miliaris";393;17473
"Chaetodon multicinctus";508;14477
"Chaetodon ocellatus";875;21712
"Chaetodon ocellicaudus";49;1137
"Chaetodon octofasciatus";320;4296
"Chaetodon ornatissimus";373;9799
"Chaetodon oxycephalus";72;1250
"Chaetodon paucifasciatus";99;2843
"Chaetodon pelewensis";162;5304
"Chaetodon plebeius";263;8147
"Chaetodon punctatofasciatus";145;4242
"Chaetodon quadrimaculatus";166;5401
"Chaetodon rafflesii";203;4175
"Chaetodon rainfordi";172;8673
"Chaetodon reticulatus";167;6068
"Chaetodon sedentarius";431;11640
"Chaetodon semeion";97;1997
"Chaetodon semilarvatus";83;1876
"Chaetodon speculum";236;5845
"Chaetodon striatus";801;19315
"Chaetodon triangulum";95;1928
"Chaetodon trichrous";41;911
"Chaetodon tricinctus";33;787
"Chaetodon trifascialis";685;22203
"Chaetodon trifasciatus";534;15954
"Chaetodon ulietensis";245;7393
"Chaetodon unimaculatus";482;14503
"Chaetodon vagabundus";609;14047
"Chaetodon xanthocephalus";103;2460
"Chaetodon xanthurus";73;2216
"Chaetodon zanzibarensis";64;1678
"Chaetodontoplus conspicillatus";42;406
"Chaetodontoplus duboulayi";77;3502
"Chaetodontoplus meredithi";38;528
"Chaetodontoplus mesoleucus";145;2499
"Chaetodontoplus personifer";34;1445
"Chaetodontoplus septentrionalis";151;2684
"Chaetodontoplus vanderloosi";7;437
"Champsocephalus esox";172;6749
"Chanos chanos";13920;373039
