"rls_sci_name";"GG_ref_nb";"GG_ref_cit"
"Elacatinus puncticulatus";120;15148
"Elacatinus randalli";85;2027
"Elacatinus xanthiprora";46;818
"Elagatis bipinnulata";1820;32804
"Eleotrica cableae";12;198
"Elops affinis";314;8433
"Embiotoca jacksoni";932;48737
"Embiotoca lateralis";766;33248
"Emblemariopsis pricei";26;273
"Emblemariopsis signifer";72;1883
"Enchelycore lichenosa";19;608
"Enchelycore ramosa";38;664
"Engraulis australis";974;26125
"Enneanectes carminalis";119;3408
"Enneanectes smithi";27;779
"Enneapterygius atrogulare";21;461
"Enneapterygius hemimelas";27;778
"Enneapterygius kermadecensis";16;221
"Enneapterygius larsonae";8;41
"Enneapterygius mirabilis";8;156
"Enneapterygius rufopileus";58;1600
"Enneapterygius similis";8;451
"Enophrys diceraus";218;3986
"Enoplosus armatus";262;7492
"Entomacrodus chapmani";12;188
"Entomacrodus solus";7;203
"Eocallionymus papilio";30;681
"Epibulus brevis";10;336
"Epibulus insidiator";715;24557
"Epinephelides armatus";131;3469
"Epinephelus adscensionis";918;23227
"Epinephelus akaara";2830;68026
"Epinephelus albomarginatus";36;937
"Epinephelus analogus";260;5252
"Epinephelus areolatus";986;18928
"Epinephelus bilobatus";39;741
"Epinephelus bleekeri";438;10277
"Epinephelus bruneus";1654;35556
"Epinephelus coeruleopunctatus";293;5587
"Epinephelus coioides";13110;320841
"Epinephelus corallicola";216;2358
"Epinephelus costae";593;9291
"Epinephelus cyanopodus";267;6395
"Epinephelus daemelii";176;5054
"Epinephelus fasciatus";1614;36131
"Epinephelus fuscoguttatus";4735;85865
"Epinephelus guttatus";1865;73098
"Epinephelus hexagonatus";235;5594
"Epinephelus irroratus";26;450
"Epinephelus itajara";2216;61497
"Epinephelus labriformis";406;8059
"Epinephelus lanceolatus";2569;84072
"Epinephelus longispinis";382;7868
"Epinephelus macrospilos";141;3560
"Epinephelus maculatus";357;7030
"Epinephelus malabaricus";4561;92687
"Epinephelus marginatus";4507;141250
"Epinephelus melanostigma";167;3130
"Epinephelus merra";1614;35864
"Epinephelus morio";2424;59578
"Epinephelus multinotatus";212;3544
"Epinephelus ongus";343;19071
"Epinephelus polyphekadion";1434;25313
"Epinephelus quoyanus";363;7998
"Epinephelus rivulatus";287;5949
"Epinephelus socialis";37;490
"Epinephelus spilotoceps";153;2839
"Epinephelus striatus";2915;131554
"Epinephelus tauvina";3290;70427
"Epinephelus tukula";367;5974
"Epinephelus undulatostriatus";45;3634
"Equetus punctatus";218;8979
"Eubalichthys bucephalus";38;939
"Eubalichthys caeruleoguttatus";12;238
"Eubalichthys cyanoura";17;333
"Eubalichthys gunnii";36;442
"Eubalichthys mosaicus";123;3435
"Eucinostomus dowii";191;1979
"Eupetrichthys angustipes";62;1943
"Euthynnus affinis";4486;78367
"Euthynnus lineatus";931;20506
"Eutrigla gurnardus";1785;49148
"Eviota albolineata";67;1196
"Eviota atriventris";18;270
"Eviota bifasciata";23;853
"Eviota bimaculata";9;128
"Eviota fasciola";16;304
"Eviota guttata";53;1062
"Eviota hoesei";15;163
"Eviota lachdeberei";13;320
"Eviota latifasciata";14;384
"Eviota melasma";39;908
"Eviota mikiae";3;50
"Eviota nigriventris";39;838
"Eviota pellucida";48;1090
"Eviota prasites";33;1127
"Eviota raja";14;451
"Eviota readerae";3;28
"Eviota rubriceps";11;77
"Eviota sebreei";44;1173
"Eviota sigillata";73;4180
"Eviota storthynx";20;253
"Eviota zebrina";31;654
"Evistias acutirostris";69;1757
"Evynnis cardinalis";152;3564
"Exallias brevis";200;7129
"Exyrias belissimus";66;1711
"Favonigobius lateralis";222;8993
"Foetorepus calauropomus";81;2130
"Forcipiger flavissimus";599;15547
"Forcipiger longirostris";325;10096
"Forsterygion capito";139;3576
"Forsterygion flavonigrum";33;454
"Forsterygion gymnotum";54;1296
"Forsterygion lapillum";255;17768
"Forsterygion malcolmi";42;1259
"Forsterygion maryannae";47;1229
"Forsterygion varium";357;16721
"Furcina osimae";29;278
"Fusigobius duospilus";60;1175
"Fusigobius inframaculatus";27;639
"Fusigobius melacron";9;295
"Fusigobius neophytus";114;3773
"Fusigobius signipinnis";36;1154
"Gadus morhua";28847;1222238
"Gasterosteus aculeatus";25012;1177369
"Genicanthus caudovittatus";69;1878
"Genicanthus lamarck";93;2555
"Genicanthus semicinctus";22;226
"Genicanthus watanabei";54;1074
"Genypterus tigerinus";78;1478
"Gerres cinereus";1237;28510
"Gerres equulus";91;2543
"Gerres subfasciatus";443;14610
"Gillellus chathamensis";7;81
"Girella cyanea";71;3269
"Girella elevata";242;16529
"Girella fimbriata";18;455
"Girella freminvillii";19;373
"Girella nigricans";1125;53075
"Girella punctata";837;15604
"Girella simplicidens";88;4368
"Girella tephraeops";23;735
"Girella tricuspidata";929;36451
"Girella zebra";129;5216
"Glaucosoma hebraicum";602;14599
"Glaucosoma magnificum";15;435
"Glaucosoma scapulare";81;3744
"Glyptoparus delicatulus";28;1304
"Gnathanacanthus goetzeei";26;995
"Gnathanodon speciosus";1147;27541
"Gnathodentex aureolineatus";427;11048
"Gnatholepis anjerensis";241;13207
"Gnatholepis cauerensis";144;3003
"Gnatholepis thompsoni";403;17166
"Gobiesox woodsi";2;5
"Gobioclinus dendriticus";2;12
"Gobiodon citrinus";176;5228
"Gobiodon heterospilos";6;25
"Gobiodon histrio";299;12420
"Gobiodon okinawae";108;3158
"Gobiodon quinquestrigatus";91;2865
"Gobiodon spilophthalmus";6;171
"Gobiosoma hildebrandi";19;1054
"Gobiosoma spilotum";10;280
"Gobius bucchichi";478;10186
"Gobius cruentatus";643;12580
"Gobius fallax";138;3144
"Gobius niger";4077;129262
"Gobius paganellus";1383;35660
"Gobius tetrophthalmus";17;250
"Gobius xanthocephalus";138;1935
"Gomphosus caeruleus";259;5391
"Gomphosus varius";733;27004
"Goniistius francisi";9;210
"Goniistius gibbosus";6;93
"Goniistius plessisi";15;402
"Goniistius rubrolabiatus";27;3339
"Goniistius vestitus";7;131
"Goniistius zebra";11;198
"Goniistius zonatus";135;5626
"Gorgasia galzini";9;147
"Gracila albomarginata";177;4390
"Gramma brasiliensis";111;3719
"Gramma loreto";445;14850
"Grammatorcynus bicarinatus";196;5490
"Grammatorcynus bilineatus";135;3029
"Grammistes sexlineatus";366;9716
"Gunnellichthys monostigma";53;1671
"Gymnocaesio gymnoptera";69;1310
"Gymnocanthus tricuspis";416;13703
"Gymnoclinus cristulatus";15;450
"Gymnocranius audleyi";105;3293
"Gymnocranius euanus";147;3490
"Gymnocranius microdon";29;849
"Gymnocrotaphus curvidens";68;1520
"Gymnomuraena zebra";358;11826
"Gymnosarda unicolor";667;18529
"Gymnothorax annasona";13;285
"Gymnothorax breedeni";43;416
"Gymnothorax castaneus";170;4233
"Gymnothorax cribroris";13;1373
"Gymnothorax dovii";79;1165
"Gymnothorax eurostus";192;6985
"Gymnothorax favagineus";181;3541
"Gymnothorax fimbriatus";149;6113
"Gymnothorax flavimarginatus";314;7507
"Gymnothorax funebris";717;22269
"Gymnothorax javanicus";869;30534
"Gymnothorax meleagris";258;7610
"Gymnothorax miliaris";300;10405
"Gymnothorax moringa";748;29541
"Gymnothorax nubilus";26;625
"Gymnothorax obesus";15;417
"Gymnothorax panamensis";72;1433
"Gymnothorax pictus";276;6984
"Gymnothorax porphyreus";92;1623
"Gymnothorax prasinus";129;4846
"Gymnothorax prionodon";40;1261
"Gymnothorax thyrsoideus";120;2679
"Gymnothorax undulatus";321;7788
"Gymnothorax zonipectis";70;2576
"Haemulon album";483;20013
"Haemulon aurolineatum";1536;33921
"Haemulon carbonarium";359;10196
"Haemulon chrysargyreum";389;11827
"Haemulon flaviguttatum";193;2135
"Haemulon flavolineatum";1881;68047
"Haemulon macrostomum";257;8911
"Haemulon maculicauda";240;3084
"Haemulon melanurum";305;8032
"Haemulon parra";653;19311
"Haemulon plumierii";2164;66598
"Haemulon sciurus";1295;48311
"Haemulon scudderii";195;3369
"Haemulon sexfasciatum";257;5313
"Haemulon steindachneri";808;10750
"Haemulon vittatum";150;6899
"Haletta semifasciata";166;6119
"Halichoeres adustus";21;497
"Halichoeres argus";130;3549
"Halichoeres biocellatus";100;3836
"Halichoeres bivittatus";1262;47243
"Halichoeres brasiliensis";171;4109
"Halichoeres brownfieldi";35;1272
"Halichoeres burekae";31;249
"Halichoeres chierchiae";139;2193
"Halichoeres chloropterus";174;4093
"Halichoeres chrysus";130;3311
"Halichoeres cosmetus";65;1479
"Halichoeres dimidiatus";72;1909
"Halichoeres discolor";23;1017
"Halichoeres dispilus";282;6345
"Halichoeres erdmanni";3;65
"Halichoeres garnoti";604;19855
"Halichoeres hartzfeldii";54;2105
"Halichoeres hortulanus";554;11085
"Halichoeres insularis";13;414
"Halichoeres iridis";33;501
"Halichoeres leucoxanthus";23;533
"Halichoeres leucurus";53;1041
"Halichoeres maculipinna";452;18122
"Halichoeres malpelo";15;769
"Halichoeres margaritaceus";192;5311
"Halichoeres marginatus";322;7990
"Halichoeres melanochir";106;4334
"Halichoeres melanurus";363;11373
"Halichoeres melasmapomus";43;1548
"Halichoeres miniatus";80;2346
"Halichoeres nebulosus";164;3979
"Halichoeres nicholsi";194;5098
"Halichoeres nigrescens";167;3266
"Halichoeres notospilus";150;3371
"Halichoeres orientalis";15;423
"Halichoeres ornatissimus";137;4733
"Halichoeres pictus";168;8920
"Halichoeres poeyi";454;14334
"Halichoeres prosopeion";98;2864
"Halichoeres radiatus";545;14351
"Halichoeres richmondi";69;1213
"Halichoeres salmofasciatus";15;304
"Halichoeres scapularis";248;6252
"Halichoeres semicinctus";338;9568
"Halichoeres socialis";46;669
"Halichoeres solorensis";19;775
"Halichoeres tenuispinis";321;8249
"Halichoeres timorensis";36;1050
"Halichoeres trimaculatus";608;17798
"Halichoeres trispilus";9;238
"Helcogramma chica";21;817
"Helcogramma decurrens";25;263
"Helcogramma maldivensis";7;48
"Helcogramma striata";48;1182
"Helcogrammoides cunninghami";95;4608
"Helicolenus percoides";365;10553
"Helotes sexlineatus";380;15523
"Hemiglyphidodon plagiometopon";236;10782
"Hemigymnus fasciatus";424;9753
"Hemigymnus melapterus";811;22093
"Hemilepidotus jordani";314;6146
"Hemiramphus depauperatus";22;879
"Hemitaurichthys multispinosus";9;115
"Hemitaurichthys polylepis";246;7327
"Hemitaurichthys thompsoni";54;2090
"Hemitaurichthys zoster";148;3851
"Heniochus acuminatus";772;12888
"Heniochus chrysostomus";282;6810
"Heniochus diphreutes";267;5932
"Heniochus intermedius";153;5042
"Heniochus monoceros";229;4195
"Heniochus pleurotaenia";66;462
"Heniochus singularius";164;3170
"Heniochus varius";233;6292
"Heteroclinus adelaidae";22;433
"Heteroclinus johnstoni";28;463
"Heteroclinus perspicillatus";71;2877
"Heteroclinus roseus";25;622
"Heteroclinus tristis";17;346
"Heteroconger hassi";156;4990
"Heteropriacanthus cruentatus";924;30188
"Heteroscarus acroptilus";85;1762
"Heterostichus rostratus";326;10048
"Hexagrammos agrammus";542;10107
"Hexagrammos decagrammus";922;18989
"Hexagrammos otakii";1844;24156
"Hexagrammos stelleri";423;7910
"Hipposcarus harid";376;10655
"Hipposcarus longiceps";388;11460
"Holacanthus bermudensis";377;15587
"Holacanthus ciliaris";790;22435
"Holacanthus clarionensis";114;2242
"Holacanthus passer";430;8809
"Holacanthus tricolor";738;21822
"Holocentrus adscensionis";1223;40653
"Holocentrus rufus";707;31069
"Hologymnosus annulatus";186;4866
"Hologymnosus doliatus";161;5192
"Hoplolatilus cuniculus";34;1181
"Hoplolatilus starcki";54;1337
"Hoplopagrus guentherii";377;7938
"Hyperlophus vittatus";431;10710
"Hypoatherina barnesi";43;1019
"Hypoplectrodes annulatus";17;252
"Hypoplectrodes huntii";70;3111
"Hypoplectrodes maccullochi";79;3649
"Hypoplectrodes nigroruber";53;1057
"Hypoplectrus aberrans";78;3611
"Hypoplectrus castroaguirrei";13;85
"Hypoplectrus chlorurus";113;4588
"Hypoplectrus gemma";75;2865
"Hypoplectrus guttavarius";119;2055
"Hypoplectrus indigo";121;2807
"Hypoplectrus maya";5;58
"Hypoplectrus nigricans";394;18597
"Hypoplectrus providencianus";26;372
"Hypoplectrus puella";353;13209
"Hypoplectrus unicolor";334;10420
"Hyporhamphus affinis";157;6114
"Hyporthodus flavolimbatus";508;9897
"Hyporthodus niveatus";871;18106
"Hyporthodus octofasciatus";161;5501
"Hypsoblennius proteus";5;33
"Hypsurus caryi";232;8223
"Hypsypops rubicundus";658;36776
"Iniistius celebicus";8;172
"Iniistius pavo";294;9815
"Inimicus caledonicus";26;531
"Inimicus filamentosus";36;569
"Isocirrhitus sexfasciatus";5;114
"Istigobius campbelli";52;554
"Istigobius decoratus";170;4848
"Istigobius goldmanni";47;1321
"Istigobius hoesei";12;376
"Istigobius nigroocellatus";12;229
"Istigobius rigilius";52;973
"Itycirrhitus wilhelmi";17;232
"Jenkinsia lamprotaenia";270;15300
"Johnrandallia nigrirostris";272;5303
"Jordania zonope";102;4604
"Karalepis stewarti";35;697
"Koumansetta hectori";52;1316
"Koumansetta rainfordi";60;2252
"Kuhlia mugil";330;9635
"Kyphosus azureus";209;8328
"Kyphosus bigibbus";367;13159
"Kyphosus cinerascens";602;17612
"Kyphosus cornelii";143;6508
"Kyphosus elegans";293;6776
"Kyphosus incisor";277;8817
"Kyphosus ocyurus";17;79
"Kyphosus sectatrix";907;25513
"Kyphosus sydneyanus";423;14787
"Kyphosus vaigiensis";661;14093
"Labracinus cyclophthalmus";82;2475
"Labracinus lineatus";41;1424
"Labracoglossa nitida";27;587
"Labrichthys unilineatus";294;12695
"Labrisomus cricota";49;674
"Labrisomus jenkinsi";12;1685
"Labrisomus multiporosus";72;1520
"Labrisomus nuchipinnis";490;10687
"Labrisomus socorroensis";4;55
"Labroides bicolor";358;9182
"Labroides dimidiatus";2634;105666
"Labroides pectoralis";69;2520
"Labroides phthirophagus";293;12220
"Labroides rubrolabiatus";43;1188
"Labropsis alleni";16;926
"Labropsis australis";91;4404
"Labropsis manabei";40;1800
"Labropsis micronesica";21;1278
"Labropsis xanthonota";84;3023
"Labrus bergylta";2324;74844
"Labrus merula";779;21177
"Labrus mixtus";652;20506
"Labrus viridis";650;16614
"Lachnolaimus maximus";1260;34040
"Lactophrys bicaudalis";260;9144
"Lactophrys triqueter";490;14540
"Lactoria diaphana";237;6763
"Lactoria fornasini";140;2536
"Larabicus quadrilineatus";130;5237
"Latridopsis ciliaris";235;6859
"Latridopsis forsteri";233;8791
"Latropiscis purpurissatus";122;4435
"Leiocottus hirundo";35;1131
"Lepidonectes bimaculatus";9;51
"Lepidonectes clarkhubbsi";19;174
"Lepidonectes corallicola";30;673
"Lepidozygus tapeinosoma";154;3585
"Leptatherina presbyteroides";205;7521
"Leptocottus armatus";1981;62236
"Leptojulis cyanopleura";77;3288
"Leptoscarus vaigiensis";544;17724
"Lesueurigobius friesii";534;15104
"Lethrinus amboinensis";76;1709
"Lethrinus atkinsoni";376;9329
"Lethrinus borbonicus";118;2652
"Lethrinus erythracanthus";193;4983
"Lethrinus erythropterus";191;3769
"Lethrinus genivittatus";213;5836
"Lethrinus harak";862;19605
"Lethrinus laticaudis";192;15004
"Lethrinus lentjan";1550;30338
"Lethrinus microdon";331;8526
"Lethrinus miniatus";1024;26430
"Lethrinus nebulosus";1943;57076
"Lethrinus obsoletus";409;11751
"Lethrinus olivaceus";395;6535
"Lethrinus ornatus";249;4771
"Lethrinus rubrioperculatus";365;6442
"Lethrinus variegatus";256;5684
"Lethrinus xanthochilus";292;5584
"Leviprora inops";68;1898
"Limnichthys fasciatus";50;2215
"Liparis montagui";238;6436
"Lipophrys pholis";2483;114991
"Lithognathus lithognathus";655;27635
"Lithognathus mormyrus";2724;70927
"Lotella rhacina";149;3876
"Lotilia graciliosa";49;1507
"Lucayablennius zingaro";80;1774
"Lutjanus alexandrei";199;4698
"Lutjanus analis";2481;47353
"Lutjanus apodus";1464;45840
"Lutjanus aratus";151;2235
"Lutjanus argentimaculatus";3324;69598
"Lutjanus argentiventris";993;18150
"Lutjanus biguttatus";158;2051
"Lutjanus bohar";1536;39961
"Lutjanus boutton";73;883
"Lutjanus campechanus";4186;119356
"Lutjanus carponotatus";955;32300
"Lutjanus cyanopterus";1009;19708
"Lutjanus decussatus";302;5943
"Lutjanus ehrenbergii";347;8070
"Lutjanus erythropterus";1065;16140
"Lutjanus fulviflamma";1214;24254
"Lutjanus fulvus";1069;26806
"Lutjanus gibbus";1021;25757
"Lutjanus griseus";3537;114228
"Lutjanus guttatus";1707;22924
"Lutjanus inermis";118;1386
"Lutjanus jocu";1322;30069
"Lutjanus johnii";1208;19459
"Lutjanus jordani";118;1664
"Lutjanus kasmira";1666;54512
"Lutjanus lemniscatus";185;3208
"Lutjanus lutjanus";648;7986
"Lutjanus mahogoni";464;16181
"Lutjanus monostigma";543;13274
"Lutjanus novemfasciatus";355;6089
"Lutjanus quinquelineatus";349;7388
"Lutjanus rivulatus";600;9822
"Lutjanus rufolineatus";92;1577
"Lutjanus russellii";1070;22523
"Lutjanus sebae";1165;25640
"Lutjanus semicinctus";96;2261
"Lutjanus synagris";2762;54098
"Lutjanus viridis";175;3808
"Lutjanus vitta";1183;28577
"Luzonichthys waitei";31;909
"Luzonichthys whitleyi";25;335
"Lythrypnus dalli";819;33429
"Lythrypnus gilberti";15;581
"Lythrypnus insularis";4;61
"Macolor macularis";202;3791
"Macolor niger";417;8889
"Macrodontogobius wilburi";40;855
"Macropharyngodon bipartitus";84;2032
"Macropharyngodon choati";36;1959
"Macropharyngodon geoffroy";71;2701
"Macropharyngodon kuiteri";18;734
"Macropharyngodon meleagris";166;4756
"Macropharyngodon negrosensis";71;2614
"Macropharyngodon ornatus";34;708
"Malacanthus brevirostris";187;4840
"Malacanthus latovittatus";158;3409
"Malacanthus plumieri";649;22919
"Malacoctenus boehlkei";66;1250
"Malacoctenus ebisui";47;1089
"Malacoctenus hubbsi";102;2641
"Malacoctenus macropus";137;4503
"Malacoctenus margaritae";33;455
"Malacoctenus tetranemus";48;1182
"Malacoctenus triangulatus";213;7326
"Malacoctenus zonifer";47;983
"Malacoctenus zonogaster";13;160
"Manonichthys splendens";17;418
"Maxillicosta scabriceps";43;1023
"Mccoskerichthys sandae";26;711
"Mecaenichthys immaculatus";30;1179
"Medialuna californiensis";335;17312
"Megalops atlanticus";2599;89533
"Meiacanthus abruptus";2;8
"Meiacanthus atrodorsalis";177;5172
"Meiacanthus bundoon";9;470
"Meiacanthus crinitus";13;637
"Meiacanthus ditrema";27;567
"Meiacanthus grammistes";128;3393
"Meiacanthus kamoharai";29;539
"Meiacanthus lineatus";36;1784
"Meiacanthus luteus";11;242
"Meiacanthus mossambicus";26;473
"Meiacanthus naevius";7;76
"Meiacanthus nigrolineatus";113;4537
"Meiacanthus oualanensis";18;431
"Meiacanthus phaeus";15;175
"Meiacanthus smithi";32;996
"Meiacanthus tongaensis";4;149
"Melanogrammus aeglefinus";14652;524094
"Melichthys indicus";108;1519
"Melichthys niger";872;24318
"Melichthys vidua";357;8453
"Mendosoma lineatum";61;872
"Meuschenia australis";77;2095
"Meuschenia flavolineata";67;1667
"Meuschenia freycineti";292;9008
"Meuschenia galii";57;1371
"Meuschenia hippocrepis";126;2623
"Meuschenia scaber";431;18728
"Meuschenia trachylepis";126;5251
"Meuschenia venusta";34;914
"Microcanthus strigatus";414;11291
"Microgobius microlepis";32;670
"Microlepidotus brevipinnis";142;1870
"Microspathodon bairdii";136;2228
"Microspathodon chrysurus";848;34141
"Microspathodon dorsalis";334;14598
"Mimoblennius lineathorax";3;75
"Mola mola";3727;103599
"Molva molva";2102;58052
"Monacanthus chinensis";403;12165
"Monacanthus tuckeri";198;11731
"Monodactylus argenteus";855;23227
"Monotaxis grandoculis";834;22348
"Monotaxis heterodon";31;226
"Morwong ephippium";2;3
"Morwong fuscus";144;8233
"Mugil cephalus";22909;653457
"Mugil curema";4460;82060
"Mugil galapagensis";38;1091
"Mulloidichthys dentatus";256;4990
"Mulloidichthys flavolineatus";1086;34539
"Mulloidichthys martinicus";709;19569
"Mulloidichthys mimicus";30;479
"Mulloidichthys vanicolensis";567;10672
"Mullus argentinae";265;4418
"Mullus surmuletus";4836;136470
"Muraena argus";57;664
"Muraena augusti";151;1934
"Muraena clepsydra";56;791
"Muraena helena";1368;31114
"Muraena lentiginosa";188;3446
"Mycteroperca bonaci";1667;36145
"Mycteroperca fusca";222;7437
"Mycteroperca interstitialis";488;14355
"Mycteroperca jordani";198;7749
"Mycteroperca microlepis";2166;75808
"Mycteroperca olfax";204;6010
"Mycteroperca rosacea";835;28067
"Mycteroperca tigris";632;19983
"Mycteroperca xenarcha";210;6161
"Myoxocephalus scorpius";4708;182169
"Myrichthys maculosus";197;6788
"Myrichthys tigrinus";96;2843
"Myripristis adusta";176;3424
"Myripristis amaena";165;4859
"Myripristis berndti";650;22194
"Myripristis clarionensis";6;102
"Myripristis earlei";15;198
"Myripristis gildi";9;84
"Myripristis hexagona";103;2404
"Myripristis jacobus";629;21273
"Myripristis kochiensis";14;543
"Myripristis kuntee";294;7852
"Myripristis leiognathus";187;3867
"Myripristis murdjan";470;9582
"Myripristis pralinia";119;3237
"Myripristis randalli";11;277
"Myripristis tiki";20;343
"Myripristis violacea";202;5975
"Myripristis vittata";94;2609
"Nannosalarias nativitatis";28;1018
"Naso annulatus";292;8695
"Naso brachycentron";179;3399
"Naso brevirostris";573;14537
"Naso caeruleacauda";28;445
"Naso caesius";90;1757
"Naso elegans";90;1298
"Naso fageni";48;572
"Naso hexacanthus";453;11307
"Naso lituratus";1094;37381
"Naso thynnoides";102;1882
"Naso tonganus";121;3763
"Naso unicornis";1411;40722
"Naso vlamingii";495;15614
"Neatypus obliquus";74;1313
"Nectamia similis";7;182
"Nelusetta ayraud";218;5049
"Nemadactylus bergi";277;5680
"Nemadactylus douglasii";189;8060
"Nemadactylus macropterus";975;38298
"Nemadactylus valenciennesi";137;4121
"Nemateleotris magnifica";207;4267
"Neocirrhites armatus";114;3545
"Neoditrema ransonnetii";202;5628
"Neoglyphidodon bonang";20;375
"Neoglyphidodon carlsoni";11;150
"Neoglyphidodon crossi";28;410
"Neoglyphidodon melas";374;11788
"Neoglyphidodon nigroris";237;5415
"Neoglyphidodon oxyodon";50;859
"Neoglyphidodon polyacanthus";37;946
"Neoglyphidodon thoracotaeniatus";22;238
"Neomyxus leuciscus";84;1401
"Neoniphon argenteus";117;2690
"Neoniphon marianus";174;4910
"Neoniphon opercularis";101;2351
"Neoniphon sammara";465;11666
"Neoodax balteatus";130;4265
"Neopomacentrus anabatoides";48;971
"Neopomacentrus aquadulcis";5;6
"Neopomacentrus azysron";287;14801
"Neopomacentrus bankieri";99;3470
"Neopomacentrus cyanomos";269;6785
"Neopomacentrus filamentosus";79;3053
"Neopomacentrus metallicus";13;211
"Neopomacentrus miryae";77;2962
"Neopomacentrus nemurus";88;2116
"Neopomacentrus violascens";60;842
"Neosebastes pandus";52;1183
"Neosebastes scorpaenoides";83;3248
"Nesogobius hinsbyi";17;539
"Nesogobius pulchellus";34;1302
"Nexilosus latifrons";45;1614
"Nicholsina denticulata";150;2965
"Notocirrhitus splendens";31;679
"Notoclinops segmentatus";69;2191
"Notoclinops yaldwyni";30;763
"Notoclinus fenestratus";37;1304
"Notolabrus celidotus";862;42533
"Notolabrus cinctus";59;1105
"Notolabrus fucicola";414;13494
"Notolabrus gymnogenis";104;4374
"Notolabrus inscriptus";42;1015
"Notolabrus parilus";164;3391
"Notolabrus tetricus";366;14210
"Novaculichthys taeniourus";429;11589
"Oblada melanura";1703;46390
"Ocyurus chrysurus";2868;78829
"Odax cyanoallix";33;1363
"Odax pullus";429;16492
"Odontoscion dentex";335;10720
"Odontoscion eurymesops";12;649
"Odontoscion xanthops";48;481
"Odonus niger";687;15208
"Ogcocephalus darwini";34;822
"Ogilbia cocoensis";4;29
"Ogilbia galapagosensis";27;1112
"Ogilbichthys ferocis";4;43
"Ogilbyina novaehollandiae";21;761
"Ogilbyina queenslandiae";15;1047
"Olisthops cyanomelas";292;10270
"Oman ypsilon";11;110
"Omegophora armilla";52;1011
"Omegophora cyanopunctata";11;284
"Omobranchus aurosplendidus";0;0
"Omobranchus germaini";29;921
"Omobranchus mekranensis";13;148
"Omobranchus smithi";10;1604
"Ophioblennius atlanticus";627;29824
"Ophioblennius clippertonensis";7;140
"Ophioblennius steindachneri";279;6971
"Ophiodon elongatus";2956;109689
"Ophthalmolepis lineolata";178;6222
"Opisthocentrus ocellatus";137;1630
"Opisthocentrus tenuis";54;636
"Opisthocentrus zonope";49;316
"Opistognathus aurifrons";301;13392
"Opistognathus darwiniensis";13;229
"Opistognathus randalli";3;91
"Oplegnathus conwayi";52;1477
"Oplegnathus insignis";93;1624
"Optivus agastos";6;142
"Orthonopias triacis";100;2885
"Orthopristis forbesi";22;1447
"Ostorhinchus angustatus";165;3934
"Ostorhinchus apogonoides";131;2610
"Ostorhinchus aureus";246;4041
"Ostorhinchus capricornis";7;146
"Ostorhinchus chrysotaenia";32;1115
"Ostorhinchus doederleini";346;11424
"Ostorhinchus fasciatus";382;7371
"Ostorhinchus flavus";5;33
"Ostorhinchus limenus";37;450
"Ostorhinchus luteus";7;119
"Ostorhinchus multilineatus";15;249
"Ostorhinchus nigrofasciatus";131;3007
"Ostorhinchus norfolcensis";4;65
"Ostorhinchus notatus";133;5057
"Ostorhinchus parvulus";19;767
"Ostorhinchus properuptus";63;1321
"Ostorhinchus rubrimacula";21;336
"Ostorhinchus schlegeli";5;35
"Ostorhinchus sealei";27;587
"Ostorhinchus urostigmus";2;9
"Ostorhinchus victoriae";27;457
"Ostorhinchus wassinki";19;672
"Ostracion cubicum";625;15102
"Ostracion cyanurus";48;1025
"Ostracion immaculatum";10;774
"Ostracion meleagris";643;19587
"Ostracion solorense";0;0
"Ostracion whitleyi";29;712
"Othos dentex";99;3643
"Oxycercichthys veliferus";6;22
"Oxycheilinus bimaculatus";201;6131
"Oxycheilinus celebicus";89;3169
"Oxycheilinus digramma";381;12505
"Oxycheilinus mentalis";44;1292
"Oxycheilinus orientalis";126;6232
"Oxycheilinus unifasciatus";208;6490
"Oxycirrhites typus";223;5881
"Oxyjulis californica";483;19814
"Oxylebius pictus";447;21461
"Oxymonacanthus longirostris";446;14481
"Pachymetopon aeneum";138;3689
"Pachymetopon blochii";294;8875
"Pachymetopon grande";165;5008
"Pagellus acarne";1960;44781
"Pagellus erythrinus";3768;79077
"Pagrus auratus";9260;371289
"Pagrus auriga";704;15932
"Pagrus pagrus";6720;160800
"Parablennius gattorugine";718;17762
"Parablennius incognitus";355;9190
"Parablennius intermedius";30;653
"Parablennius laticlavius";61;2221
"Parablennius marmoreus";299;6289
"Parablennius pilicornis";480;8063
"Parablennius rouxi";306;7520
"Parablennius sanguinolentus";900;25859
"Parablennius serratolineatus";6;231
"Parablennius tasmanianus";66;1375
"Parablennius zvonimiri";238;3671
"Paracaesio xanthura";158;2984
"Paracanthurus hepatus";604;12883
"Paracentropyge multifasciata";81;1895
"Parachaetodon ocellatus";177;3035
"Paracheilinus cyaneus";7;557
"Paracheilinus octotaenia";41;1051
"Paracirrhites arcatus";479;100104
"Paracirrhites forsteri";391;8269
"Paracirrhites hemistictus";72;1104
"Paracirrhites nisus";12;224
"Paracirrhites xanthus";14;269
"Paradiancistrus cuyoensis";2;27
"Paragobiodon echinocephalus";294;10742
"Paragobiodon xanthosoma";156;5307
"Parajulis poecilepterus";494;12609
"Paralabrax albomaculatus";64;4477
"Paralabrax auroguttatus";127;1462
"Paralabrax clathratus";1427;55593
"Paralabrax maculatofasciatus";1332;25491
"Paralabrax nebulifer";833;42583
"Paraluteres prionurus";135;3841
