"Scientific";"FLICKR_tot";"WIKI_views";"WIKI_lenght";"WIKI_nblang";"WIKI_nbcom";"WOS_all";"WOS_shan_fields";"WOS_CiteScore";"WOS_simp_fields";"WOS_n_fields";"WOS_tot_cit";"WOS_H_index";"NCBI_nuccore";"NCBI_protein";"NCBI_popset"
"Lethrinus genivittatus";7;0;44;0;0;11;1,72371357135191;2,17;0,789115646258503;7;118;5;23;11;4
"Lethrinus harak";34;12136;253;0;0;26;2,03819680920128;3,79090909090909;0,832199546485261;11;359;10;167;135;71
"Lethrinus laticaudis";1;8553;172;0;0;11;2,06798048447112;4,12222222222222;0,832;11;44;4;30;33;3
"Lethrinus lentjan";50;18843;499;0;0;50;2,5506840028238;3,68;0,870864197530864;24;823;10;204;85;21
"Lethrinus microdon";11;9026;312;0;0;8;2,27830252503913;5,08571428571429;0,865051903114187;12;71;2;26;19;5
"Lethrinus miniatus";10;16910;406;0;0;56;2,49579789018536;3,86530612244898;0,871292517006803;24;643;17;319;19;14
"Lethrinus nebulosus";97;72232;479;0;0;88;2,54769905016983;3,49583333333333;0,856093757859263;31;673;15;522;220;44
"Lethrinus obsoletus";29;7837;69;0;0;6;1,32966134885476;2,86666666666667;0,722222222222222;4;28;2;148;76;19
"Lethrinus olivaceus";26;13770;238;0;0;8;2,44121452910603;3,75714285714286;0,89;14;3;1;0;0;0
"Lethrinus ornatus";3;2;28;0;0;3;1,56071040904141;2,76666666666667;0,777777777777778;5;8;1;41;35;9
"Lethrinus rubrioperculatus";5;8933;343;0;0;7;1,27703425946614;1,88571428571429;0,693877551020408;4;44;3;37;29;8
"Lethrinus variegatus";7;2;28;0;0;4;2,16395565688206;1,875;0,88;9;133;3;6;4;1
"Lethrinus xanthochilus";12;29;28;0;0;3;1,90615474653985;4,63333333333333;0,84375;7;112;1;41;18;5
"Leviprora inops";3;4217;508;0;0;5;1,41848366194566;3,62;0,72;5;61;2;7;2;3
"Limnichthys fasciatus";3;3114;338;0;0;1;0;1,7;0;1;0;0;18;35;14
"Liparis montagui";10;4605;591;0;0;2;1,09861228866811;2,65;0,666666666666667;3;0;0;16;11;9
"Lipophrys pholis";186;23269;1689;22;9;157;2,44880201636625;4,13130434782609;0,81999094612947;39;1639;24;2152;19;41
"Lithognathus lithognathus";120;3780;288;0;0;47;1,97002245605413;3,02758620689655;0,791131267321744;14;388;12;16;7;0
"Lithognathus mormyrus";115;5196;2437;27;12;138;2,49153299050957;3,32396694214876;0,840289256198347;37;1752;21;19756;164;55
"Lotella rhacina";22;6421;181;0;0;0;0;0;0;0;0;0;5;8;1
"Lotilia graciliosa";25;0;168;9;0;1;0;1,1;0;1;0;0;1;1;0
"Lucayablennius zingaro";17;4992;95;0;0;2;1,33217904021012;1,75;0,72;4;0;0;16;16;10
"Lutjanus alexandrei";4;2730;551;0;0;15;1,4258600772427;2,62142857142857;0,706994328922495;6;64;4;723;478;13
"Lutjanus analis";105;4998;2456;0;0;91;2,63493780427906;3,30394736842105;0,84113101022722;36;1109;21;433;105;49
"Lutjanus apodus";295;4331;1861;13;7;48;1,82867456133282;3,71;0,767498592606493;14;1526;17;205;162;19
"Lutjanus aratus";0;0;134;0;0;1;0,693147180559945;2,8;0,5;2;15;1;12;9;0
"Lutjanus argentimaculatus";73;16962;1368;29;16;103;2,97291848271774;3,4797619047619;0,888414271208991;44;1494;23;724;620;46
"Lutjanus argentiventris";24;0;125;0;0;41;2,06462482011535;2,55526315789474;0,796087029853264;16;280;10;96;68;11
"Lutjanus biguttatus";57;7183;924;0;0;1;0;1,7;0;1;0;0;55;23;15
"Lutjanus bohar";205;29380;1065;0;0;46;2,73772503178878;4,23684210526316;0,905375917476691;24;552;12;231;71;27
"Lutjanus boutton";0;0;185;0;0;0;0;0;0;0;0;0;3;1;2
"Lutjanus campechanus";62;178469;4718;0;0;435;2,40494903847622;3,74649859943978;0,80844356294401;57;5074;37;2398;1099;94
"Lutjanus carponotatus";38;8848;832;0;0;70;2,64486452484932;3,97796610169492;0,889283518885322;27;1173;18;524;140;21
"Lutjanus cyanopterus";10;4020;2022;0;0;21;2,30027044055324;3,04210526315789;0,85180055401662;16;389;4;107;101;14
"Lutjanus decussatus";29;10394;867;0;0;5;1,59416669911802;3,1;0,760330578512397;6;64;4;32;26;10
"Lutjanus ehrenbergii";49;3;538;0;0;13;2,22430049962706;5,02727272727273;0,859504132231405;12;119;4;103;28;8
"Lutjanus erythropterus";12;18841;1029;0;0;49;3,11608098244412;3,31818181818182;0,912937911897329;40;412;12;413;4606;24
"Lutjanus fulviflamma";81;15010;1361;0;0;47;2,17554897759096;3,11944444444444;0,838333333333333;15;574;15;356;289;24
"Lutjanus fulvus";92;14554;1302;0;0;23;2,53870233233359;3,21578947368421;0,890432098765432;18;108;5;0;0;0
"Lutjanus gibbus";111;5708;1332;0;0;25;2,55451477634739;3,12272727272727;0,890532544378698;19;59;4;230;154;26
"Lutjanus griseus";257;7314;1252;14;6;155;2,50181651448214;3,759375;0,844851698618962;39;2552;31;360;135;67
"Lutjanus guttatus";9;0;367;0;0;141;2,78778239852785;2,59461538461538;0,868681146673425;45;1061;19;4234;12872;26
"Lutjanus inermis";4;0;140;0;0;5;1,56071040904141;1,8;0,777777777777778;5;12;2;9;9;0
"Lutjanus jocu";35;4008;1628;0;0;46;2,3009587607664;2,9125;0,81994459833795;22;196;9;161;66;14
"Lutjanus johnii";12;21379;1021;0;0;33;2,54066152185805;2,78125;0,876694214876033;21;478;10;402;151;40
"Lutjanus jordani";9;0;136;0;0;2;1,56071040904141;2,55;0,777777777777778;5;6;2;0;0;0
"Lutjanus kasmira";459;9383;2666;22;5;43;2,47504573713361;4,20571428571429;0,859823606680428;22;541;13;1570;1103;36
"Lutjanus lemniscatus";5;6617;626;0;0;3;1,6094379124341;1,66666666666667;0,8;5;6;1;55;17;6
"Lutjanus lutjanus";3078;5146;1170;0;0;12;2,03175921856927;2,9;0,840236686390533;9;40;3;231;205;18
"Lutjanus mahogoni";82;0;183;0;0;7;1,97224697942344;4,48333333333333;0,84297520661157;8;355;4;42;40;18
"Lutjanus monostigma";112;12108;705;0;0;12;2,10100962888754;2,27272727272727;0,853185595567867;10;235;4;198;34;9
"Lutjanus novemfasciatus";11;1571;633;0;0;11;1,62166791711235;2,38;0,746666666666667;7;153;5;0;0;0
"Lutjanus quinquelineatus";32;8179;669;0;0;6;1,90728399932138;3,06666666666667;0,819444444444444;8;86;2;90;30;9
"Lutjanus rivulatus";12;16633;779;0;0;7;1,67698777432242;3,05;0,790123456790123;6;2;1;0;0;0
"Lutjanus rufolineatus";10;2;95;0;0;1;1,09861228866811;3,5;0,666666666666667;3;0;0;18;15;0
"Lutjanus russellii";39;12402;708;18;3;43;2,42041098687664;3,34864864864865;0,853182104599874;21;864;12;648;475;18
"Lutjanus sebae";48;55237;1460;20;10;31;2,27856151275219;3,58965517241379;0,820453892559609;19;532;9;399;139;44
"Lutjanus semicinctus";6;0;159;0;0;0;0;0;0;0;0;0;4;1;2
"Lutjanus synagris";204;6132;1663;13;6;107;2,68225094586989;3,26923076923077;0,866562009419152;35;754;17;704;229;66
"Lutjanus viridis";45;2972;641;0;0;3;2,04319187054512;3,13333333333333;0,864197530864198;8;31;2;0;0;0
"Lutjanus vitta";15;10160;695;0;0;23;2,41511512964244;4,64705882352941;0,892561983471074;14;992;10;0;0;0
"Luzonichthys waitei";5;0;30;0;0;2;0,693147180559945;1,1;0,5;2;0;0;0;0;0
"Luzonichthys whitleyi";0;0;31;0;0;0;0;0;0;0;0;0;0;0;0
"Lythrypnus dalli";131;27285;901;0;0;84;2,30101740960589;4,25068493150685;0,855288888888889;21;1344;24;27;20;9
"Lythrypnus gilberti";1;0;85;0;0;2;0,636514168294813;4,25;0,444444444444444;2;17;1;48;3;5
"Lythrypnus insularis";0;0;83;0;0;0;0;0;0;0;0;0;0;0;0
"Macolor macularis";124;9241;1803;0;0;2;1,79175946922805;3,4;0,833333333333333;6;2;1;29;13;4
"Macolor niger";404;4576;1924;0;0;7;2,06888464582756;1,62857142857143;0,858725761772853;9;31;3;64;21;15
