"fb_sci_name";"FB_nas";"FB_Importance";"FB_IUCN";"FB_UsedasBait";"FB_UsedforAquaculture";"FB_PriceCateg";"FB_Aquarium_I";"FB_Aquarium_II"
"Acanthurus nubilus";104;NA;"LC";"never/rarely";"never/rarely";"medium";"commercial";NA
"Acanthurus olivaceus";83;"commercial";"LC";"never/rarely";"never/rarely";"medium";"commercial";"based mainly on capture"
"Acanthurus pyroferus";85;"commercial";"LC";"never/rarely";"never/rarely";"medium";"commercial";"based mainly on capture"
"Acanthurus reversus";213;NA;"LC";"never/rarely";"never/rarely";"medium";"never/rarely";NA
"Acanthurus sohal";82;NA;"LC";"never/rarely";"never/rarely";"medium";"commercial";"based mainly on capture"
"Acanthurus tennentii";89;"commercial";"LC";"never/rarely";"never/rarely";"medium";"commercial";"based mainly on capture"
"Acanthurus thompsoni";90;NA;"LC";"never/rarely";"never/rarely";"medium";"commercial";"based mainly on capture"
"Acanthurus triostegus";72;"commercial";"LC";"never/rarely";"never/rarely";"medium";"commercial";"based mainly on capture"
"Acanthurus tristis";201;NA;"LC";"never/rarely";"never/rarely";"medium";"commercial";"based mainly on capture"
"Acanthurus xanthopterus";80;"minor commercial";"LC";"never/rarely";"never/rarely";"medium";"commercial";"based mainly on capture"
"Achoerodus gouldii";100;"minor commercial";"VU";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Achoerodus viridis";207;NA;"NT";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Aetapcus maculatus";233;NA;"N.E.";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Aethaloperca rogaa";86;"minor commercial";"LC";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Afurcagobius tamarensis";234;NA;"N.E.";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Aioliops brachypterus";250;NA;"VU";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Aioliops novaeguineae";228;NA;"N.E.";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Albula glossodonta";93;"minor commercial";"VU";"usually";"never/rarely";"unknown";"never/rarely";NA
"Alectis ciliaris";78;"minor commercial";"LC";"never/rarely";"never/rarely";"medium";"commercial";"based mainly on capture"
"Alloclinus holderi";233;NA;"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Allomycterus pilatus";212;NA;"DD";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Alphestes immaculatus";93;"of no interest";"LC";"never/rarely";"never/rarely";NA;"never/rarely";" "
"Altrichthys azurelineatus";135;NA;"VU";"never/rarely";"never/rarely";"unknown";NA;NA
"Altrichthys curatus";132;NA;"VU";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Aluterus scriptus";98;NA;"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Amanses scopas";114;"minor commercial";"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Ambassis jacksoniensis";115;NA;"N.E.";"never/rarely";"never/rarely";"low";"never/rarely";NA
"Amblycirrhitus bimacula";118;NA;"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Amblycirrhitus earnshawi";249;NA;"EN";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Amblycirrhitus pinos";98;NA;"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Amblyeleotris fasciata";115;NA;"LC";NA;NA;"very high";"commercial";"based mainly on capture"
"Amblyeleotris guttata";107;NA;"LC";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Amblyeleotris gymnocephala";123;"of no interest";"LC";"never/rarely";"never/rarely";NA;"commercial";"based mainly on capture"
"Amblyeleotris japonica";127;NA;"DD";NA;NA;"very high";NA;NA
"Amblyeleotris periophthalma";110;NA;"LC";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Amblyeleotris steinitzi";113;NA;"LC";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Amblyeleotris sungami";222;NA;"LC";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Amblyeleotris wheeleri";113;NA;"LC";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
