"fb_sci_name";"FB_nas";"FB_Importance";"FB_IUCN";"FB_UsedasBait";"FB_UsedforAquaculture";"FB_PriceCateg";"FB_Aquarium_I";"FB_Aquarium_II"
"Chrysiptera unimaculata";90;"minor commercial";"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Chrysoblephus cristiceps";93;"commercial";"CR";"never/rarely";"never/rarely";"low";"never/rarely";NA
"Chrysoblephus gibbiceps";123;"commercial";"EN";"never/rarely";"never/rarely";"low";"never/rarely";NA
"Chrysoblephus laticeps";100;"commercial";"NT";"never/rarely";"never/rarely";"low";"potential";"based mainly on capture"
"Cirrhilabrus cyanopleura";95;NA;"DD";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Cirrhilabrus exquisitus";103;NA;"DD";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Cirrhilabrus flavidorsalis";112;NA;"LC";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Cirrhilabrus katherinae";114;NA;"LC";"never/rarely";"never/rarely";"very high";NA;NA
"Cirrhilabrus laboutei";108;NA;"LC";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Cirrhilabrus lineatus";210;NA;"LC";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Cirrhilabrus punctatus";207;NA;"LC";"never/rarely";"never/rarely";"very high";"commercial";NA
"Cirrhilabrus randalli";212;NA;"LC";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Cirrhilabrus scottorum";108;NA;"LC";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Cirrhilabrus solorensis";212;NA;"DD";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Cirrhilabrus temminckii";105;NA;"DD";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Cirrhilabrus walindi";212;NA;"LC";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Cirrhitichthys aprinus";104;"subsistence fisheries";"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Cirrhitichthys falco";94;"of no interest";"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Cirrhitichthys oxycephalus";94;NA;"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Cirrhitops fasciatus";118;NA;"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Cirrhitops hubbardi";120;NA;"LC";"never/rarely";"never/rarely";"unknown";NA;NA
"Cirrhitus pinnulatus";88;"commercial";"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Cirrhitus rivulatus";110;"commercial";"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Cirripectes alboapicalis";100;"of no interest";"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Cirripectes alleni";113;NA;"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Cirripectes auritus";105;"of no interest";"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Cirripectes castaneus";103;NA;"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Cirripectes chelomatus";104;"of no interest";"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Cirripectes filamentosus";100;"of no interest";"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Cirripectes fuscoguttatus";107;"of no interest";"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Cirripectes hutchinsi";106;"of no interest";"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Cirripectes polyzona";106;"of no interest";"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Cirripectes springeri";105;"of no interest";"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Cirripectes stigmaticus";103;"of no interest";"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Cirripectes vanderbilti";106;"of no interest";"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Cirripectes variolosus";103;"of no interest";"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Cleidopus gloriamaris";215;"of no interest";"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Clepticus parrae";87;"minor commercial";"LC";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Clinus latipennis";255;NA;"EN";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Clinus superciliosus";123;NA;"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Clinus venustris";122;NA;"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Cnidoglanis macrocephalus";93;"minor commercial";"DD";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Cochleoceps bicolor";134;NA;"N.E.";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Cochleoceps orientalis";225;NA;"N.E.";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Conger verreauxi";123;"commercial";"LC";NA;NA;"medium";NA;NA
"Congiopodus peruvianus";218;NA;"LC";"never/rarely";"never/rarely";"unknown";NA;NA
"Conniella apterygia";233;NA;"VU";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Coradion altivelis";108;"of no interest";"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Coradion chrysozonus";98;"minor commercial";"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Coris auricularis";207;NA;"LC";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Coris aurilineata";113;NA;"LC";"never/rarely";"never/rarely";"very high";NA;NA
"Coris aygula";91;"minor commercial";"LC";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Coris batuensis";91;"minor commercial";"LC";"never/rarely";"never/rarely";"very high";"commercial";NA
"Coris bulbifrons";117;NA;"VU";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Coris caudimacula";105;NA;"LC";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Coris centralis";213;NA;"LC";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Coris cuvieri";107;"minor commercial";"LC";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Coris debueni";216;NA;"LC";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Coris dorsomacula";207;NA;"LC";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Coris formosa";105;"minor commercial";"LC";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Coris gaimard";86;"commercial";"LC";"never/rarely";"never/rarely";"very high";"public aquariums";"based mainly on capture"
"Coris hewetti";213;NA;"LC";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Coris julis";76;"minor commercial";"LC";"never/rarely";"never/rarely";"very high";"commercial";" "
"Coris picta";202;NA;"LC";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Coris pictoides";209;NA;"LC";NA;"never/rarely";"very high";"commercial";"based mainly on capture"
"Coris roseoviridis";214;NA;"LC";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Coris sandeyeri";115;NA;"LC";NA;"never/rarely";"very high";"commercial";"based mainly on capture"
"Coris venusta";106;NA;"LC";NA;NA;"very high";"commercial";"based mainly on capture"
"Coryphopterus alloides";245;NA;"VU";NA;NA;"very high";NA;NA
"Coryphopterus dicrus";111;NA;"LC";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Coryphopterus eidolon";109;NA;"VU";NA;NA;"very high";"commercial";"based mainly on capture"
"Coryphopterus glaucofraenum";98;NA;"LC";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Coryphopterus hyalinus";210;NA;"VU";NA;NA;"very high";"public aquariums";"based mainly on capture"
"Coryphopterus lipernes";208;NA;"VU";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Coryphopterus personatus";99;NA;"VU";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Coryphopterus thrix";214;NA;"VU";NA;NA;"very high";NA;NA
"Coryphopterus tortugae";234;NA;"VU";"never/rarely";"never/rarely";NA;"never/rarely";NA
"Coryphopterus urospilus";100;NA;"LC";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Cratinus agassizii";114;"commercial";"NT";"never/rarely";"never/rarely";"very high";"never/rarely";" "
"Cremnochorites capensis";110;NA;"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Crenimugil crenilabis";90;"minor commercial";"LC";"occasionally";"commercial";"medium";"never/rarely";NA
"Cristiceps aurantiacus";121;NA;"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Crocodilichthys gracilis";110;NA;"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Crossosalarias macrospilus";116;NA;"LC";"never/rarely";"never/rarely";"unknown";NA;NA
"Cryptichthys jojettae";211;"of no interest";"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Cryptocentrus caeruleomaculatus";120;NA;"LC";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Cryptocentrus caeruleopunctatus";218;NA;"LC";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Cryptocentrus cryptocentrus";223;NA;"LC";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Cryptocentrus fasciatus";218;NA;"LC";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Cryptocentrus strigilliceps";117;NA;"LC";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Ctenochaetus binotatus";92;NA;"LC";"never/rarely";"never/rarely";"medium";"commercial";NA
"Ctenochaetus cyanocheilus";200;NA;"LC";"never/rarely";"never/rarely";"medium";"never/rarely";NA
"Ctenochaetus flavicauda";213;NA;"LC";"never/rarely";"never/rarely";"medium";"never/rarely";NA
"Ctenochaetus hawaiiensis";99;NA;"LC";"never/rarely";"never/rarely";"medium";"commercial";"based mainly on capture"
"Ctenochaetus marginatus";95;NA;"LC";"never/rarely";"never/rarely";"medium";"commercial";"based mainly on capture"
"Ctenochaetus striatus";64;"commercial";"LC";"never/rarely";"never/rarely";"medium";"commercial";"based mainly on capture"
"Ctenochaetus tominiensis";92;NA;"LC";"never/rarely";"never/rarely";"medium";"commercial";"based mainly on capture"
"Ctenochaetus truncatus";211;NA;"LC";"never/rarely";"never/rarely";"medium";"never/rarely";NA
"Ctenogobiops aurocingulus";121;NA;"LC";NA;NA;"very high";"commercial";"based mainly on capture"
"Ctenogobiops crocineus";126;NA;"LC";"never/rarely";"never/rarely";NA;"never/rarely";NA
"Ctenogobiops feroculus";117;NA;"LC";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Ctenogobiops maculosus";218;NA;"LC";"never/rarely";"never/rarely";"very high";"commercial";NA
"Ctenogobiops mitodes";228;NA;"N.E.";"never/rarely";"never/rarely";NA;"never/rarely";NA
"Ctenogobiops pomastictus";117;NA;"LC";NA;NA;"very high";"commercial";"based mainly on capture"
"Ctenogobiops tangaroai";113;NA;"LC";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Ctenolabrus rupestris";77;"subsistence fisheries";"LC";"never/rarely";"never/rarely";"very high";"public aquariums";"based mainly on capture"
"Cybiosarda elegans";205;"minor commercial";"LC";"usually";"never/rarely";"very high";"never/rarely";NA
"Cyclichthys orbicularis";102;"subsistence fisheries";"N.E.";"never/rarely";"never/rarely";"unknown";NA;NA
"Cymatoceps nasutus";108;"commercial";"VU";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Cymatogaster aggregata";87;"minor commercial";"LC";"occasionally";"never/rarely";"unknown";"never/rarely";"based mainly on capture"
"Cymbacephalus beauforti";103;"subsistence fisheries";"LC";NA;"never/rarely";"high";NA;NA
"Cypho purpurascens";218;NA;"LC";"never/rarely";"never/rarely";"unknown";"commercial";NA
"Cypho zaps";228;NA;"N.E.";"never/rarely";"never/rarely";NA;"never/rarely";NA
"Cyprinocirrhites polyactis";114;NA;"LC";"never/rarely";"never/rarely";"unknown";"commercial";NA
"Dactylophora nigricans";123;"minor commercial";"N.E.";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Dactylopus dactylopus";112;"of no interest";"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Daector reticulata";249;NA;"VU";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Daector schmitti";239;NA;"VU";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Dascyllus albisella";92;NA;"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Dascyllus aruanus";75;"of no interest";"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Dascyllus carneus";100;"of no interest";"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Dascyllus flavicaudus";106;NA;"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Dascyllus marginatus";103;NA;"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Dascyllus melanurus";94;NA;"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Dascyllus reticulatus";85;"minor commercial";"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Dascyllus strasburgi";106;NA;"LC";"never/rarely";"never/rarely";"unknown";NA;NA
"Dascyllus trimaculatus";88;"minor commercial";"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Decapterus koheru";111;"minor commercial";"LC";"never/rarely";"never/rarely";"medium";"never/rarely";NA
"Decapterus macarellus";73;"commercial";"LC";"usually";"never/rarely";"medium";"never/rarely";NA
"Decapterus muroadsi";101;"commercial";"LC";"usually";"never/rarely";"medium";"never/rarely";NA
"Decapterus punctatus";79;"minor commercial";"LC";"usually";"never/rarely";"medium";"never/rarely";NA
"Dellichthys morelandi";120;NA;"N.E.";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Dendrochirus barberi";118;NA;"LC";"never/rarely";"never/rarely";"high";"commercial";"based mainly on capture"
"Dendrochirus zebra";86;"minor commercial";"LC";"never/rarely";"never/rarely";"high";"commercial";"based mainly on capture"
"Dentex dentex";64;"commercial";"VU";"never/rarely";"commercial";"very high";"never/rarely";" "
"Dermatolepis dermatolepis";96;"minor commercial";"LC";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Diademichthys lineatus";123;NA;"LC";"never/rarely";"never/rarely";"unknown";NA;NA
"Diagramma labiosum";208;NA;"LC";"never/rarely";"never/rarely";"medium";"never/rarely";" "
"Diagramma melanacrum";115;NA;"N.E.";"never/rarely";"never/rarely";"medium";"never/rarely";NA
"Dialommus fuscus";155;"of no interest";"VU";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Dicentrarchus labrax";55;"commercial";"LC";"never/rarely";"commercial";"very high";"never/rarely";"based mainly on capture"
"Dicentrarchus punctatus";83;"minor commercial";"LC";"never/rarely";"never/rarely";"medium";"never/rarely";" "
"Dichistius capensis";102;"commercial";"N.E.";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Dicotylichthys punctulatus";115;"of no interest";"N.E.";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Didogobius amicuscaridis";241;NA;"VU";"never/rarely";"never/rarely";NA;"never/rarely";" "
"Dinolestes lewini";227;NA;"N.E.";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Diodon holocanthus";77;"minor commercial";"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Diodon hystrix";82;"minor commercial";"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Diodon liturosus";101;"minor commercial";"N.E.";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Diodon nicthemerus";214;"of no interest";"N.E.";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Diplodus annularis";67;"commercial";"LC";"never/rarely";"never/rarely";"low";NA;NA
"Diplodus argenteus";97;"minor commercial";"LC";"never/rarely";"never/rarely";"high";"never/rarely";NA
"Diplodus capensis";108;"minor commercial";"LC";"usually";"never/rarely";"high";"never/rarely";NA
"Diplodus cervinus";81;"minor commercial";"LC";"never/rarely";"never/rarely";"low";"never/rarely";NA
"Diplodus puntazzo";77;"commercial";"LC";"never/rarely";"never/rarely";"low";"never/rarely";" "
"Diplodus sargus";71;"minor commercial";"LC";NA;"commercial";"very high";NA;NA
"Diplodus vulgaris";71;"commercial";"LC";"never/rarely";"never/rarely";"low";"commercial";NA
"Diplogrammus goramensis";107;NA;"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Diplogrammus xenicus";115;NA;"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Diploprion bifasciatum";106;NA;"LC";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Diproctacanthus xanthurus";96;NA;"LC";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Dipterygonotus balteatus";97;"minor commercial";"LC";"usually";"never/rarely";"unknown";"never/rarely";NA
"Dischistodus chrysopoecilus";103;NA;"LC";"never/rarely";"never/rarely";"unknown";NA;NA
"Dischistodus darwiniensis";121;NA;"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Dischistodus melanotus";102;NA;"LC";"never/rarely";"never/rarely";"unknown";NA;NA
"Dischistodus perspicillatus";96;"minor commercial";"LC";"never/rarely";"never/rarely";"unknown";NA;NA
"Dischistodus prosopotaenia";99;NA;"LC";"never/rarely";"never/rarely";"unknown";NA;NA
"Dischistodus pseudochrysopoecilus";97;NA;"LC";"never/rarely";"never/rarely";"unknown";NA;NA
"Doratonotus megalepis";202;NA;"LC";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Dotalabrus alleni";211;NA;"LC";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Dotalabrus aurantiacus";222;NA;"LC";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Dules auriga";223;"of no interest";"N.E.";"never/rarely";"never/rarely";NA;"never/rarely";NA
"Echeneis naucrates";87;"minor commercial";"LC";"never/rarely";"never/rarely";"high";"commercial";"based mainly on capture"
"Echeneis neucratoides";204;"commercial";"DD";"never/rarely";"never/rarely";"high";"never/rarely";NA
"Echidna nebulosa";90;"minor commercial";"LC";"never/rarely";"never/rarely";"medium";"commercial";"based mainly on capture"
"Echidna nocturna";122;NA;"LC";NA;NA;"medium";NA;NA
"Ecsenius aequalis";111;NA;"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Ecsenius alleni";112;NA;"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Ecsenius bandanus";111;NA;"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Ecsenius bathi";109;NA;"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Ecsenius bicolor";104;NA;"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Ecsenius fijiensis";114;NA;"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Ecsenius fourmanoiri";102;NA;"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Ecsenius frontalis";110;NA;"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Ecsenius gravieri";113;NA;"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Ecsenius kurti";134;NA;"VU";"never/rarely";"never/rarely";"unknown";NA;NA
"Ecsenius lineatus";109;NA;"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";"based mainly on capture"
"Ecsenius lividanalis";107;NA;"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Ecsenius midas";108;NA;"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Ecsenius minutus";123;NA;"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Ecsenius nalolo";113;NA;"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Ecsenius namiyei";105;NA;"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Ecsenius oculatus";112;NA;"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Ecsenius prooculis";113;NA;"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Ecsenius randalli";135;NA;"VU";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Ecsenius schroederi";111;NA;"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Ecsenius stictus";113;NA;"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Ecsenius stigmatura";107;NA;"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Ecsenius tigris";121;NA;"VU";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Ecsenius tricolor";133;NA;"VU";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Ecsenius trilineatus";109;"of no interest";"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Ecsenius yaeyamaensis";101;NA;"LC";"never/rarely";"never/rarely";"unknown";"commercial";"based mainly on capture"
"Ekemblemaria myersi";123;NA;"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Elacatinus atronasus";254;NA;"EN";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Elacatinus cayman";258;NA;"EN";"never/rarely";"never/rarely";NA;"never/rarely";NA
"Elacatinus centralis";258;NA;"EN";"never/rarely";"never/rarely";NA;"never/rarely";NA
"Elacatinus evelynae";100;NA;"LC";"never/rarely";"never/rarely";"very high";"commercial";NA
"Elacatinus figaro";115;NA;"VU";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Elacatinus genie";205;NA;"LC";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Elacatinus horsti";120;NA;"LC";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Elacatinus jarocho";236;NA;"EN";"never/rarely";"never/rarely";NA;"never/rarely";" "
"Elacatinus oceanops";90;NA;"LC";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Elacatinus prochilos";104;NA;"VU";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Elacatinus puncticulatus";123;NA;"LC";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Elacatinus randalli";106;NA;"LC";"never/rarely";"never/rarely";"very high";"commercial";NA
"Elacatinus xanthiprora";118;NA;"LC";NA;NA;"very high";"commercial";"based mainly on capture"
"Elagatis bipinnulata";67;"highly commercial";"LC";"never/rarely";"never/rarely";"medium";"never/rarely";NA
"Eleotrica cableae";231;NA;"VU";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Elops affinis";95;"minor commercial";"DD";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Embiotoca jacksoni";96;NA;"LC";NA;"never/rarely";"unknown";NA;NA
"Embiotoca lateralis";95;"commercial";"LC";"never/rarely";"never/rarely";"unknown";"public aquariums";"based mainly on capture"
"Emblemariopsis pricei";134;NA;"VU";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Emblemariopsis signifer";226;NA;"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Enchelycore lichenosa";120;NA;"LC";"never/rarely";"never/rarely";"medium";"never/rarely";NA
"Enchelycore ramosa";231;NA;"LC";"never/rarely";"never/rarely";"medium";"never/rarely";NA
"Engraulis australis";84;"minor commercial";"LC";"usually";"never/rarely";"medium";"never/rarely";NA
"Enneanectes carminalis";113;NA;"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Enneanectes smithi";237;NA;"VU";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Enneapterygius atrogulare";98;"of no interest";"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";" "
"Enneapterygius hemimelas";102;"of no interest";"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";" "
"Enneapterygius kermadecensis";210;"of no interest";"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Enneapterygius larsonae";210;"of no interest";"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Enneapterygius mirabilis";211;"of no interest";"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Enneapterygius rufopileus";204;"of no interest";"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";" "
"Enneapterygius similis";197;NA;"LC";"never/rarely";"never/rarely";"unknown";"never/rarely";" "
"Enophrys diceraus";115;NA;"N.E.";"never/rarely";"never/rarely";"low";"never/rarely";" "
"Enoplosus armatus";115;"minor commercial";"LC";"never/rarely";"never/rarely";"unknown";"commercial";NA
"Entomacrodus chapmani";134;NA;"VU";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Entomacrodus solus";237;NA;"EN";"never/rarely";"never/rarely";NA;"never/rarely";" "
"Eocallionymus papilio";217;NA;"N.E.";"never/rarely";"never/rarely";"unknown";"never/rarely";NA
"Epibulus brevis";213;NA;"LC";"never/rarely";"never/rarely";NA;"never/rarely";NA
"Epibulus insidiator";100;"minor commercial";"LC";"never/rarely";"never/rarely";"very high";"commercial";"based mainly on capture"
"Epinephelides armatus";222;NA;"NT";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Epinephelus adscensionis";75;"highly commercial";"LC";"never/rarely";"never/rarely";"very high";"never/rarely";" "
"Epinephelus akaara";90;"minor commercial";"EN";"never/rarely";"commercial";"very high";"never/rarely";NA
"Epinephelus albomarginatus";115;"subsistence fisheries";"VU";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Epinephelus analogus";98;"minor commercial";"LC";"never/rarely";"never/rarely";"high";"never/rarely";NA
"Epinephelus areolatus";68;"commercial";"LC";"never/rarely";"commercial";"very high";"never/rarely";NA
"Epinephelus bilobatus";105;NA;"LC";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Epinephelus bleekeri";197;"minor commercial";"DD";"never/rarely";"commercial";"very high";"never/rarely";NA
"Epinephelus bruneus";113;"commercial";"VU";"never/rarely";"commercial";"very high";"never/rarely";NA
"Epinephelus coeruleopunctatus";91;"minor commercial";"LC";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Epinephelus coioides";73;"commercial";"LC";"never/rarely";"commercial";"high";"never/rarely";NA
"Epinephelus corallicola";102;"subsistence fisheries";"LC";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Epinephelus costae";85;"minor commercial";"DD";"never/rarely";"never/rarely";"very high";"never/rarely";" "
"Epinephelus cyanopodus";85;"minor commercial";"LC";"never/rarely";"never/rarely";"very high";"public aquariums";"based mainly on capture"
"Epinephelus daemelii";98;"subsistence fisheries";"NT";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Epinephelus fasciatus";71;"commercial";"LC";"never/rarely";"never/rarely";"high";"commercial";"based mainly on capture"
"Epinephelus fuscoguttatus";76;"minor commercial";"VU";"never/rarely";"commercial";"very high";"commercial";"based mainly on capture"
"Epinephelus guttatus";70;"highly commercial";"LC";"never/rarely";"never/rarely";"high";"never/rarely";" "
"Epinephelus hexagonatus";92;"minor commercial";"LC";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Epinephelus irroratus";209;"commercial";"LC";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Epinephelus itajara";79;"minor commercial";"VU";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Epinephelus labriformis";97;"minor commercial";"LC";"never/rarely";"never/rarely";"very high";"never/rarely";NA
"Epinephelus lanceolatus";87;"subsistence fisheries";"DD";"never/rarely";"commercial";"very high";"commercial";"based mainly on capture"
