"fb_sci_name";"name";"type"
"Acanthistius patachonicus";"Plectropoma patachonica";"syn"
"Acanthistius sebastoides";"Acanthistius sebastoides";"acc"
"Acanthistius sebastoides";"Serranus sebastoides";"syn"
"Acanthistius serratus";"Acanthistius serratus";"acc"
"Acanthistius serratus";"Plectropoma serratum";"syn"
"Acanthochromis polyacanthus";"Acanthochromis polyacanthus";"acc"
"Acanthochromis polyacanthus";"Abudefduf jordani";"syn"
"Acanthochromis polyacanthus";"Acanthochromis polycanthus";"syn"
"Acanthochromis polyacanthus";"Chromis desmostigma";"syn"
"Acanthochromis polyacanthus";"Heptadecanthus brevipinnis";"syn"
"Acanthochromis polyacanthus";"Heptadecanthus longicaudis";"syn"
"Acanthochromis polyacanthus";"Heptadecanthus maculosus";"syn"
"Acanthochromis polyacanthus";"Homalogrystes guntheri";"syn"
"Acanthopagrus australis";"Acanthopagrus australis";"acc"
"Acanthopagrus australis";"Chrysophrys australis";"syn"
"Acanthopagrus australis";"Mylio australis";"syn"
"Acanthopagrus australis";"Roughleyia australis";"syn"
"Acanthopagrus australis";"Sparus australis";"syn"
"Acanthopagrus latus";"Acanthopagrus latus";"acc"
"Acanthopagrus latus";"Chrysophrys auripes";"syn"
"Acanthopagrus latus";"Chrysophrys datnia";"syn"
"Acanthopagrus latus";"Chrysophrys novaecaledoniae";"syn"
"Acanthopagrus latus";"Chrysophrys rubroptera";"syn"
"Acanthopagrus latus";"Chrysophrys xanthopoda";"syn"
"Acanthopagrus latus";"Mylio latus";"syn"
"Acanthopagrus latus";"Sparus chrysopterus";"syn"
"Acanthopagrus latus";"Sparus latus";"syn"
"Acanthostracion polygonium";"Acanthostracion polygonium";"acc"
"Acanthostracion polygonium";"Acanthostracion poligonos";"syn"
"Acanthostracion polygonium";"Acanthostracion polygonius";"syn"
"Acanthostracion polygonium";"Lactophrys polygonius";"syn"
"Acanthostracion polygonium";"Lactophrys saxatilis";"syn"
"Acanthostracion quadricornis";"Acanthostracion quadricornis";"acc"
"Acanthostracion quadricornis";"Acanthostracion tricornis";"syn"
"Acanthostracion quadricornis";"Lactophrys quadricornis";"syn"
"Acanthostracion quadricornis";"Lactophrys tricornis";"syn"
"Acanthostracion quadricornis";"Ostracion quadricornis";"syn"
"Acanthostracion quadricornis";"Ostracion tricornis";"syn"
"Acanthurus achilles";"Acanthurus achilles";"acc"
"Acanthurus achilles";"Acanthurus aterrimus";"syn"
"Acanthurus achilles";"Hepatus achilles";"syn"
"Acanthurus achilles";"Hepatus aterrimus";"syn"
"Acanthurus achilles";"Teuthis achilles";"syn"
"Acanthurus achilles";"Teuthis aterrimus";"syn"
"Acanthurus albipectoralis";"Acanthurus albipectoralis";"acc"
"Acanthurus auranticavus";"Acanthurus auranticavus";"acc"
"Acanthurus bahianus";"Acanthurus bahianus";"acc"
"Acanthurus bahianus";"Hepatus bahianus";"syn"
"Acanthurus bahianus";"Teuthis bahianus";"syn"
"Acanthurus bariene";"Acanthurus bariene";"acc"
"Acanthurus bariene";"Acanthurus kingii";"syn"
"Acanthurus bariene";"Acanthurus nummifer";"syn"
"Acanthurus bariene";"Hepatus bariene";"syn"
"Acanthurus bariene";"Rhombotides nummifer";"syn"
"Acanthurus blochii";"Acanthurus blochii";"acc"
"Acanthurus chirurgus";"Acanthurus chirurgus";"acc"
"Acanthurus chirurgus";"Acanthurus phlebotomus";"syn"
"Acanthurus chirurgus";"Chaetodon chirurgus";"syn"
"Acanthurus chronixis";"Acanthurus chronixis";"acc"
"Acanthurus coeruleus";"Acanthurus coeruleus";"acc"
"Acanthurus coeruleus";"Acanthurus brevis";"syn"
"Acanthurus coeruleus";"Acanthurus broussonnetii";"syn"
"Acanthurus coeruleus";"Acanthurus coerulus";"syn"
"Acanthurus coeruleus";"Acanthurus violaceus";"syn"
"Acanthurus coeruleus";"Acronurus caeruleatus";"syn"
"Acanthurus coeruleus";"Hepatus caeruleus";"syn"
"Acanthurus coeruleus";"Hepatus pawnee";"syn"
"Acanthurus coeruleus";"Teuthis coeruleus";"syn"
"Acanthurus coeruleus";"Teuthis helioides";"syn"
"Acanthurus dussumieri";"Acanthurus dussumieri";"acc"
"Acanthurus dussumieri";"Acanthurus dussumierri";"syn"
"Acanthurus dussumieri";"Acanthurus undulatus";"syn"
"Acanthurus dussumieri";"Hepatus dussumieri";"syn"
"Acanthurus dussumieri";"Rhombotides dussumieri";"syn"
"Acanthurus dussumieri";"Rhombotides lamarrii";"syn"
"Acanthurus dussumieri";"Teuthis dussumieri";"syn"
"Acanthurus fowleri";"Acanthurus fowleri";"acc"
"Acanthurus gahhm";"Acanthurus gahhm";"acc"
"Acanthurus gahhm";"Chaetodon nigrofuscus gahhm";"syn"
"Acanthurus grammoptilus";"Acanthurus grammoptilus";"acc"
"Acanthurus guttatus";"Acanthurus guttatus";"acc"
"Acanthurus guttatus";"Harpurus guttatus";"syn"
"Acanthurus guttatus";"Hepatus guttatus";"syn"
"Acanthurus guttatus";"Rhombotides guttatus";"syn"
"Acanthurus guttatus";"Teuthis guttatus";"syn"
"Acanthurus guttatus";"Zabrasoma guttatus";"syn"
"Acanthurus leucocheilus";"Acanthurus leucocheilus";"acc"
"Acanthurus leucocheilus";"Acanthurus leuocheilus";"syn"
"Acanthurus leucocheilus";"Acanthurus melanosternon";"syn"
"Acanthurus leucopareius";"Acanthurus leucopareius";"acc"
"Acanthurus leucopareius";"Hepatus leucopareius";"syn"
"Acanthurus leucopareius";"Hepatus umbra";"syn"
"Acanthurus leucopareius";"Teuthis bishopi";"syn"
"Acanthurus leucopareius";"Teuthis leucopareius";"syn"
"Acanthurus leucopareius";"Teuthis umbra";"syn"
"Acanthurus leucosternon";"Acanthurus leucosternon";"acc"
"Acanthurus leucosternon";"Acanthurus delisiani";"syn"
"Acanthurus leucosternon";"Acanthurus delisianus";"syn"
"Acanthurus leucosternon";"Hepatus leucosternon";"syn"
"Acanthurus leucosternon";"Rhombotides leucosternon";"syn"
"Acanthurus lineatus";"Acanthurus lineatus";"acc"
"Acanthurus lineatus";"Acanthurus vittatus";"syn"
"Acanthurus lineatus";"Chaetodon lineatus";"syn"
"Acanthurus lineatus";"Ctenodon lineatus";"syn"
"Acanthurus lineatus";"Harpurus lineatus";"syn"
"Acanthurus lineatus";"Hepatus lineatus";"syn"
"Acanthurus lineatus";"Rhombotides lineatus";"syn"
"Acanthurus lineatus";"Teuthis lineatus";"syn"
"Acanthurus maculiceps";"Acanthurus maculiceps";"acc"
"Acanthurus maculiceps";"Hepatus maculiceps";"syn"
"Acanthurus mata";"Acanthurus mata";"acc"
"Acanthurus mata";"Acanthurus aurolineatus";"syn"
"Acanthurus mata";"Acanthurus bleekeri";"syn"
"Acanthurus mata";"Acanthurus weberi";"syn"
"Acanthurus mata";"Chaetodon mata";"syn"
"Acanthurus mata";"Chaetodon meta";"syn"
"Acanthurus mata";"Hepatus weberi";"syn"
"Acanthurus nigricans";"Acanthurus nigricans";"acc"
"Acanthurus nigricans";"Acanthurus aliala";"syn"
"Acanthurus nigricans";"Acanthurus glaucoparecius";"syn"
"Acanthurus nigricans";"Acanthurus glaucopareius";"syn"
"Acanthurus nigricans";"Chaetodon nigricans";"syn"
"Acanthurus nigricans";"Hepatus aliala";"syn"
"Acanthurus nigricauda";"Acanthurus nigricauda";"acc"
"Acanthurus nigricauda";"Acanthurus gahm nigricauda";"syn"
"Acanthurus nigricauda";"Acanthurus nigricaudus";"syn"
"Acanthurus nigrofuscus";"Acanthurus nigrofuscus";"acc"
"Acanthurus nigrofuscus";"Acanthurus fuliginosus";"syn"
"Acanthurus nigrofuscus";"Acanthurus lineolatus";"syn"
"Acanthurus nigrofuscus";"Acanthurus matoides";"syn"
"Acanthurus nigrofuscus";"Acanthurus rubropunctatus";"syn"
"Acanthurus nigrofuscus";"Chaetodon nigrofuscus";"syn"
"Acanthurus nigrofuscus";"Ctenodon rubropunctatus";"syn"
"Acanthurus nigrofuscus";"Hepatus fuliginosus";"syn"
"Acanthurus nigrofuscus";"Hepatus lineolatus";"syn"
"Acanthurus nigrofuscus";"Hepatus lucillae";"syn"
"Acanthurus nigrofuscus";"Teuthis lucillae";"syn"
"Acanthurus nigroris";"Acanthurus nigroris";"acc"
"Acanthurus nigroris";"Acanthurus atramentatus";"syn"
"Acanthurus nigroris";"Acanthurus bipunctatus";"syn"
"Acanthurus nigroris";"Hepatus atramentatus";"syn"
"Acanthurus nigroris";"Teuthis atrimentatus";"syn"
"Acanthurus nubilus";"Acanthurus nubilus";"acc"
"Acanthurus nubilus";"Harpurina nubilus";"syn"
"Acanthurus nubilus";"Hepatus nubilus";"syn"
"Acanthurus olivaceus";"Acanthurus olivaceus";"acc"
"Acanthurus olivaceus";"Acanthurus chrysosoma";"syn"
"Acanthurus olivaceus";"Acanthurus eparai";"syn"
"Acanthurus olivaceus";"Acanthurus eparei";"syn"
"Acanthurus olivaceus";"Acanthurus erythromelas";"syn"
"Acanthurus olivaceus";"Acanthurus humeralis";"syn"
"Acanthurus olivaceus";"Ctenodon erythromelas";"syn"
"Acanthurus olivaceus";"Harpurus paroticus";"syn"
"Acanthurus olivaceus";"Hepatus chrysosoma";"syn"
"Acanthurus olivaceus";"Hepatus olivaceus";"syn"
"Acanthurus olivaceus";"Rhombotides olivaceus";"syn"
"Acanthurus olivaceus";"Rhombotides xanthosoma";"syn"
"Acanthurus olivaceus";"Teuthis olivaceus";"syn"
"Acanthurus pyroferus";"Acanthurus pyroferus";"acc"
"Acanthurus pyroferus";"Acanthurus armiger";"syn"
"Acanthurus pyroferus";"Acanthurus celebicus";"syn"
"Acanthurus pyroferus";"Acanthurus fuscus";"syn"
"Acanthurus pyroferus";"Hepatus celebicus";"syn"
"Acanthurus pyroferus";"Hepatus pyriferus";"syn"
"Acanthurus pyroferus";"Hepatus pyroferus";"syn"
"Acanthurus pyroferus";"Rhombotides celebicus";"syn"
"Acanthurus reversus";"Acanthurus reversus";"acc"
"Acanthurus sohal";"Acanthurus sohal";"acc"
"Acanthurus sohal";"Acanthurus carinatus";"syn"
"Acanthurus sohal";"Aspisurus sohar";"syn"
"Acanthurus sohal";"Chaetodon sohal";"syn"
"Acanthurus sohal";"Chaetodon sohar";"syn"
"Acanthurus sohal";"Choetodon sohab";"syn"
"Acanthurus sohal";"Ctenodon ruppelii";"syn"
"Acanthurus tennentii";"Acanthurus tennentii";"acc"
"Acanthurus tennentii";"Acanthurus bicommatus";"syn"
"Acanthurus tennentii";"Acanthurus plagiatus";"syn"
"Acanthurus thompsoni";"Acanthurus thompsoni";"acc"
"Acanthurus thompsoni";"Acanthurus philippinus";"syn"
"Acanthurus thompsoni";"Hepatus philippinus";"syn"
"Acanthurus thompsoni";"Hepatus thompsoni";"syn"
"Acanthurus thompsoni";"Teuthis thompsoni";"syn"
"Acanthurus triostegus";"Acanthurus triostegus";"acc"
"Acanthurus triostegus";"Acanthurus hirudo";"syn"
"Acanthurus triostegus";"Acanthurus hirundo";"syn"
"Acanthurus triostegus";"Acanthurus pentazona";"syn"
"Acanthurus triostegus";"Acanthurus sandvicensis";"syn"
"Acanthurus triostegus";"Acanthurus subarmatus";"syn"
"Acanthurus triostegus";"Acanthurus triostegus marquesensis";"syn"
"Acanthurus triostegus";"Acanthurus triostegus sandvicensis";"syn"
"Acanthurus triostegus";"Acanthurus triostegust";"syn"
"Acanthurus triostegus";"Chaetodon couaga";"syn"
"Acanthurus triostegus";"Chaetodon triostegus";"syn"
"Acanthurus triostegus";"Harpurus fasciatus";"syn"
"Acanthurus triostegus";"Hepatus sandvicensis";"syn"
"Acanthurus triostegus";"Hepatus triostegus";"syn"
"Acanthurus triostegus";"Rhombotides pentazona";"syn"
"Acanthurus triostegus";"Rhombotides triostegus";"syn"
"Acanthurus triostegus";"Teuthis australis";"syn"
"Acanthurus triostegus";"Teuthis elegans";"syn"
"Acanthurus triostegus";"Teuthis sandvicensis";"syn"
"Acanthurus triostegus";"Teuthis triostegus";"syn"
"Acanthurus triostegus";"Teuthis troughtoni";"syn"
"Acanthurus tristis";"Acanthurus tristis";"acc"
"Acanthurus xanthopterus";"Acanthurus xanthopterus";"acc"
"Acanthurus xanthopterus";"Acanthurus crestonis";"syn"
"Acanthurus xanthopterus";"Acanthurus rasi";"syn"
"Acanthurus xanthopterus";"Acanthurus reticulatus";"syn"
"Acanthurus xanthopterus";"Hepatus aquilinus";"syn"
"Acanthurus xanthopterus";"Hepatus crestonis";"syn"
"Acanthurus xanthopterus";"Hepatus guntheri";"syn"
"Acanthurus xanthopterus";"Hepatus xanthopterus";"syn"
"Acanthurus xanthopterus";"Teuthis crestonis";"syn"
"Acanthurus xanthopterus";"Teuthis guentheri";"syn"
"Acanthurus xanthopterus";"Teuthis guntheri";"syn"
"Acanthurus xanthopterus";"Teuthis xanthopterus";"syn"
"Achoerodus gouldii";"Achoerodus gouldii";"acc"
"Achoerodus gouldii";"Labrus gouldii";"syn"
"Achoerodus gouldii";"Platychoerops muelleri";"syn"
"Achoerodus viridis";"Achoerodus viridis";"acc"
"Achoerodus viridis";"Heterochoerops viridis";"syn"
"Achoerodus viridis";"Platychoerops badius";"syn"
"Achoerodus viridis";"Trochocopus unicolor";"syn"
"Aetapcus maculatus";"Aetapcus maculatus";"acc"
"Aetapcus maculatus";"Aetapcus vincenti";"syn"
"Aetapcus maculatus";"Pataecus maculatus";"syn"
"Aetapcus maculatus";"Pataecus vincenti";"syn"
"Aetapcus maculatus";"Pataecus vincentii";"syn"
"Aethaloperca rogaa";"Aethaloperca rogaa";"acc"
"Aethaloperca rogaa";"Aethaloperca rogga";"syn"
"Aethaloperca rogaa";"Aetheloperca rogaa";"syn"
"Aethaloperca rogaa";"Athaloperca rogae";"syn"
"Aethaloperca rogaa";"Perca lunaria";"syn"
"Afurcagobius tamarensis";"Afurcagobius tamarensis";"acc"
"Afurcagobius tamarensis";"Arenigobius tamarensis";"syn"
"Afurcagobius tamarensis";"Favonigobius tamarensis";"syn"
"Afurcagobius tamarensis";"Gobius tamarensis";"syn"
"Afurcagobius tamarensis";"Gobius tasmanicus";"syn"
"Aioliops brachypterus";"Aioliops brachypterus";"acc"
"Aioliops novaeguineae";"Aioliops novaeguineae";"acc"
"Albula glossodonta";"Albula glossodonta";"acc"
"Albula glossodonta";"Albula argenteus";"syn"
"Albula glossodonta";"Albula erythrocheilos";"syn"
"Albula glossodonta";"Argentina bonuk";"syn"
"Albula glossodonta";"Argentina glossodonta";"syn"
"Alectis ciliaris";"Alectis ciliaris";"acc"
"Alectis ciliaris";"Alectis breviventralis";"syn"
"Alectis ciliaris";"Alectis cilaris";"syn"
"Alectis ciliaris";"Alectis crinitus";"syn"
"Alectis ciliaris";"Alectis temmincki";"syn"
"Alectis ciliaris";"Blepharichthys crinitus";"syn"
"Alectis ciliaris";"Blepharis ciliaris";"syn"
"Alectis ciliaris";"Blepharis crinitus";"syn"
"Alectis ciliaris";"Blepharis fasciatus";"syn"
"Alectis ciliaris";"Blepharis indicus";"syn"
"Alectis ciliaris";"Blepharis major";"syn"
"Alectis ciliaris";"Blepharis sutor";"syn"
"Alectis ciliaris";"Carangoides ajax";"syn"
"Alectis ciliaris";"Caranx ajax";"syn"
"Alectis ciliaris";"Gallus virescens";"syn"
"Alectis ciliaris";"Hynnis cubensis";"syn"
"Alectis ciliaris";"Hynnis hopkinsi";"syn"
"Alectis ciliaris";"Scyris analis";"syn"
"Alectis ciliaris";"Zeus ciliaris";"syn"
"Alectis ciliaris";"Zeus crinitus";"syn"
"Alectis ciliaris";"Zeus gallus";"syn"
"Alloclinus holderi";"Alloclinus holderi";"acc"
"Alloclinus holderi";"Starksia holderi";"syn"
"Allomycterus pilatus";"Allomycterus pilatus";"acc"
"Allomycterus pilatus";"Allomycterus whiteleyi";"syn"
"Allomycterus pilatus";"Allomycterus whitleyi";"syn"
"Alphestes immaculatus";"Alphestes immaculatus";"acc"
"Alphestes immaculatus";"Alphestes fasciatus";"syn"
"Alphestes immaculatus";"Alphestes galapagensis";"syn"
"Altrichthys azurelineatus";"Altrichthys azurelineatus";"acc"
"Altrichthys azurelineatus";"Amblyglyphidodon azurelineatus";"syn"
"Altrichthys azurelineatus";"Chromis azurelineatus";"syn"
"Altrichthys curatus";"Altrichthys curatus";"acc"
"Aluterus scriptus";"Aluterus scriptus";"acc"
"Aluterus scriptus";"Aleuteus scriptus";"syn"
"Aluterus scriptus";"Alutera picturata";"syn"
"Aluterus scriptus";"Alutera scripta";"syn"
"Aluterus scriptus";"Aluteres pareva";"syn"
"Aluterus scriptus";"Aluteres personatus";"syn"
"Aluterus scriptus";"Aluteres scripta";"syn"
"Aluterus scriptus";"Aluterus renosus";"syn"
"Aluterus scriptus";"Aluterus scripta";"syn"
"Aluterus scriptus";"Aluterus venosus";"syn"
"Aluterus scriptus";"Balistes liturosus";"syn"
"Aluterus scriptus";"Balistes ornatus";"syn"
"Aluterus scriptus";"Balistes scripta";"syn"
"Aluterus scriptus";"Balistes scriptus";"syn"
"Aluterus scriptus";"Monacanthus scriptus";"syn"
"Aluterus scriptus";"Osbeckia scripta";"syn"
"Amanses scopas";"Amanses scopas";"acc"
"Amanses scopas";"Anameses scopas";"syn"
"Amanses scopas";"Anamses scopas";"syn"
"Amanses scopas";"Monacanthus scopas";"syn"
"Amanses scopas";"Thamnaconus penicularius";"syn"
"Ambassis jacksoniensis";"Ambassis jacksoniensis";"acc"
"Ambassis jacksoniensis";"Pseudambassis jacksoniensis";"syn"
"Ambassis jacksoniensis";"Pseudoambassis jacksoniensis";"syn"
"Amblycirrhitus bimacula";"Amblycirrhitus bimacula";"acc"
"Amblycirrhitus bimacula";"Cirrhitoidea bimacula";"syn"
"Amblycirrhitus bimacula";"Cirrhitoidea bimaculata";"syn"
"Amblycirrhitus bimacula";"Paracirrhites bimaculatus";"syn"
"Amblycirrhitus earnshawi";"Amblycirrhitus earnshawi";"acc"
"Amblycirrhitus pinos";"Amblycirrhitus pinos";"acc"
"Amblycirrhitus pinos";"Pseudocirrhites pinos";"syn"
"Amblyeleotris fasciata";"Amblyeleotris fasciata";"acc"
"Amblyeleotris fasciata";"Amblyeleotris katherine";"syn"
"Amblyeleotris fasciata";"Zebreleotris fasciata";"syn"
"Amblyeleotris guttata";"Amblyeleotris guttata";"acc"
"Amblyeleotris guttata";"Pteroculiops guttatus";"syn"
"Amblyeleotris gymnocephala";"Amblyeleotris gymnocephala";"acc"
"Amblyeleotris gymnocephala";"Cryptocentrus gymnocephalus";"syn"
"Amblyeleotris gymnocephala";"Gobius gymnocephalus";"syn"
"Amblyeleotris japonica";"Amblyeleotris japonica";"acc"
"Amblyeleotris periophthalma";"Amblyeleotris periophthalma";"acc"
"Amblyeleotris periophthalma";"Amblyeleotris maculata";"syn"
"Amblyeleotris periophthalma";"Cryptocentrops exilis";"syn"
"Amblyeleotris periophthalma";"Eleotris periophthalmus";"syn"
"Amblyeleotris steinitzi";"Amblyeleotris steinitzi";"acc"
"Amblyeleotris steinitzi";"Cryptocentrus steinitzi";"syn"
"Amblyeleotris sungami";"Amblyeleotris sungami";"acc"
"Amblyeleotris sungami";"Cryptocentrus sungami";"syn"
"Amblyeleotris wheeleri";"Amblyeleotris wheeleri";"acc"
"Amblyeleotris wheeleri";"Cryptocentrus wheeleri";"syn"
"Amblyglyphidodon aureus";"Amblyglyphidodon aureus";"acc"
"Amblyglyphidodon aureus";"Abudefduf aureus";"syn"
"Amblyglyphidodon aureus";"Glyphisodon aureus";"syn"
"Amblyglyphidodon batunaorum";"Amblyglyphidodon batunaorum";"acc"
"Amblyglyphidodon batunaorum";"Amblyglyphidodon batunai";"syn"
"Amblyglyphidodon curacao";"Amblyglyphidodon curacao";"acc"
"Amblyglyphidodon curacao";"Abudefduf curacao";"syn"
"Amblyglyphidodon curacao";"Abudefduf trifasciatus";"syn"
"Amblyglyphidodon curacao";"Amblyglyphidodon curaco";"syn"
"Amblyglyphidodon curacao";"Amblyglyphisodon nudirostrum";"syn"
"Amblyglyphidodon curacao";"Chaetodon curacao";"syn"
