"fb_sci_name";"name";"type"
"Chaetodon zanzibarensis";"Chaetodon zanzibarensis";"acc"
"Chaetodontoplus conspicillatus";"Chaetodontoplus conspicillatus";"acc"
"Chaetodontoplus conspicillatus";"Holacanthus conspicillatus";"syn"
"Chaetodontoplus duboulayi";"Chaetodontoplus duboulayi";"acc"
"Chaetodontoplus duboulayi";"Holacanthus duboulayi";"syn"
"Chaetodontoplus meredithi";"Chaetodontoplus meredithi";"acc"
"Chaetodontoplus mesoleucus";"Chaetodontoplus mesoleucus";"acc"
"Chaetodontoplus mesoleucus";"Chaetodon mesoleucus";"syn"
"Chaetodontoplus personifer";"Chaetodontoplus personifer";"acc"
"Chaetodontoplus personifer";"Holacanthus personifer";"syn"
"Chaetodontoplus septentrionalis";"Chaetodontoplus septentrionalis";"acc"
"Chaetodontoplus septentrionalis";"Holacanthus septentrionalis";"syn"
"Chaetodontoplus vanderloosi";"Chaetodontoplus vanderloosi";"acc"
"Champsocephalus esox";"Champsocephalus esox";"acc"
"Champsocephalus esox";"Chaenichthys esox";"syn"
"Chanos chanos";"Chanos chanos";"acc"
"Chanos chanos";"Butirinus argenteus";"syn"
"Chanos chanos";"Butirinus maderaspatensis";"syn"
"Chanos chanos";"Chanos arabicus";"syn"
"Chanos chanos";"Chanos chloropterus";"syn"
"Chanos chanos";"Chanos cyprinella";"syn"
"Chanos chanos";"Chanos gardineri";"syn"
"Chanos chanos";"Chanos indicus";"syn"
"Chanos chanos";"Chanos lubina";"syn"
"Chanos chanos";"Chanos mento";"syn"
"Chanos chanos";"Chanos mossambicus";"syn"
"Chanos chanos";"Chanos nuchalis";"syn"
"Chanos chanos";"Chanos orientalis";"syn"
"Chanos chanos";"Chanos salmoneus";"syn"
"Chanos chanos";"Chanos salmonoides";"syn"
"Chanos chanos";"Cyprinus pala";"syn"
"Chanos chanos";"Cyprinus palah";"syn"
"Chanos chanos";"Cyprinus tolo";"syn"
"Chanos chanos";"Leuciscus palah";"syn"
"Chanos chanos";"Leuciscus salmoneus";"syn"
"Chanos chanos";"Leuciscus zeylonicus";"syn"
"Chanos chanos";"Lutodeira chanos";"syn"
"Chanos chanos";"Lutodeira chloropterus";"syn"
"Chanos chanos";"Lutodeira indica";"syn"
"Chanos chanos";"Lutodeira mossambica";"syn"
"Chanos chanos";"Lutodeira mossambicus";"syn"
"Chanos chanos";"Lutodeira salmonea";"syn"
"Chanos chanos";"Lutodira elongata";"syn"
"Chanos chanos";"Mugil chanos";"syn"
"Chanos chanos";"Mugil salmoneus";"syn"
"Chanos chanos";"Mugile chani";"syn"
"Cheilinus abudjubbe";"Cheilinus abudjubbe";"acc"
"Cheilinus chlorourus";"Cheilinus chlorourus";"acc"
"Cheilinus chlorourus";"Cheilinus blochii";"syn"
"Cheilinus chlorourus";"Cheilinus chlororus";"syn"
"Cheilinus chlorourus";"Cheilinus chlorurus";"syn"
"Cheilinus chlorourus";"Cheilinus guttatus";"syn"
"Cheilinus chlorourus";"Cheilinus punctulatus";"syn"
"Cheilinus chlorourus";"Crenilabrus blochii";"syn"
"Cheilinus chlorourus";"Sparus chlorourus";"syn"
"Cheilinus chlorourus";"Thalliurus chlororus";"syn"
"Cheilinus chlorourus";"Thalliurus chlorurus";"syn"
"Cheilinus fasciatus";"Cheilinus fasciatus";"acc"
"Cheilinus fasciatus";"Labrus enneacanthus";"syn"
"Cheilinus fasciatus";"Sparus bandatus";"syn"
"Cheilinus fasciatus";"Sparus fasciatus";"syn"
"Cheilinus lunulatus";"Cheilinus lunulatus";"acc"
"Cheilinus lunulatus";"Labrus lunulatus";"syn"
"Cheilinus oxycephalus";"Cheilinus oxycephalus";"acc"
"Cheilinus oxycephalus";"Cheilinus calophthalmus";"syn"
"Cheilinus oxycephalus";"Cheilinus ketlitzii";"syn"
"Cheilinus oxycephalus";"Cheilinus sanguineus";"syn"
"Cheilinus trilobatus";"Cheilinus trilobatus";"acc"
"Cheilinus trilobatus";"Cheilinus fasciatopunctatus";"syn"
"Cheilinus trilobatus";"Cheilinus fasciato-punctatus";"syn"
"Cheilinus trilobatus";"Cheilinus festivus";"syn"
"Cheilinus trilobatus";"Cheilinus maculosus";"syn"
"Cheilinus trilobatus";"Cheilinus nebulosus";"syn"
"Cheilinus trilobatus";"Cheilinus pulchellus";"syn"
"Cheilinus trilobatus";"Cheilinus rivulatus";"syn"
"Cheilinus trilobatus";"Cheilinus sinuosus";"syn"
"Cheilinus trilobatus";"Cheilinus tetrazona";"syn"
"Cheilinus trilobatus";"Chelinus trilobatus";"syn"
"Cheilinus undulatus";"Cheilinus undulatus";"acc"
"Cheilinus undulatus";"Cheilinus godeffroyi";"syn"
"Cheilinus undulatus";"Cheilinus mertensii";"syn"
"Cheilinus undulatus";"Cheilinus rostratus";"syn"
"Cheilinus undulatus";"Cheilinus undulates";"syn"
"Cheilinus undulatus";"Chelinus mertensii";"syn"
"Cheilinus undulatus";"Chelinus rostratus";"syn"
"Cheilinus undulatus";"Chelinus undulatus";"syn"
"Cheilinus undulatus";"Chilinus godeffroyi";"syn"
"Cheilio inermis";"Cheilio inermis";"acc"
"Cheilio inermis";"Cheilinus inermis";"syn"
"Cheilio inermis";"Cheilio auratus";"syn"
"Cheilio inermis";"Cheilio bicolor";"syn"
"Cheilio inermis";"Cheilio cyanochloris";"syn"
"Cheilio inermis";"Cheilio cyano-chloris";"syn"
"Cheilio inermis";"Cheilio forskalii";"syn"
"Cheilio inermis";"Cheilio fuscus";"syn"
"Cheilio inermis";"Cheilio hemichrysos";"syn"
"Cheilio inermis";"Cheilio innermis";"syn"
"Cheilio inermis";"Cheilio ramosus";"syn"
"Cheilio inermis";"Cheilio udanad";"syn"
"Cheilio inermis";"Cheilio viridis";"syn"
"Cheilio inermis";"Cheillio inermis";"syn"
"Cheilio inermis";"Cheilo inermis";"syn"
"Cheilio inermis";"Labrus fusiformis";"syn"
"Cheilio inermis";"Labrus inermis";"syn"
"Cheilodactylus fasciatus";"Cheilodactylus fasciatus";"acc"
"Cheilodactylus fasciatus";"Cheilodactylus multiradiatus";"syn"
"Cheilodactylus pixi";"Cheilodactylus pixi";"acc"
"Cheilodipterus arabicus";"Cheilodipterus arabicus";"acc"
"Cheilodipterus arabicus";"Centropomus arabicus";"syn"
"Cheilodipterus arabicus";"Cheilodipterus caninus";"syn"
"Cheilodipterus arabicus";"Cheilodipterus lineatus";"syn"
"Cheilodipterus arabicus";"Perca arabica";"syn"
"Cheilodipterus arabicus";"Perca lineata";"syn"
"Cheilodipterus artus";"Cheilodipterus artus";"acc"
"Cheilodipterus artus";"Cheilodipterus lachneri australis";"syn"
"Cheilodipterus intermedius";"Cheilodipterus intermedius";"acc"
"Cheilodipterus isostigma";"Cheilodipterus isostigma";"acc"
"Cheilodipterus lachneri";"Cheilodipterus lachneri";"acc"
"Cheilodipterus macrodon";"Cheilodipterus macrodon";"acc"
"Cheilodipterus macrodon";"Apogon macrodon";"syn"
"Cheilodipterus macrodon";"Apogon melanurus";"syn"
"Cheilodipterus macrodon";"Centropomus macrodon";"syn"
"Cheilodipterus macrodon";"Cheilodipterus heptazona";"syn"
"Cheilodipterus macrodon";"Cheilodipterus lineatus";"syn"
"Cheilodipterus macrodon";"Chelidopterus macrodon";"syn"
"Cheilodipterus macrodon";"Paramia octolineata";"syn"
"Cheilodipterus nigrotaeniatus";"Cheilodipterus nigrotaeniatus";"acc"
"Cheilodipterus parazonatus";"Cheilodipterus parazonatus";"acc"
"Cheilodipterus quinquelineatus";"Cheilodipterus quinquelineatus";"acc"
"Cheilodipterus quinquelineatus";"Cheilodipterus popur";"syn"
"Cheilodipterus quinquelineatus";"Cheilodipterus quinquelineata";"syn"
"Cheilodipterus quinquelineatus";"Ostorhinchus popur";"syn"
"Cheiloprion labiatus";"Cheiloprion labiatus";"acc"
"Cheiloprion labiatus";"Pomacentrus labiatus";"syn"
"Chelidonichthys capensis";"Chelidonichthys capensis";"acc"
"Chelidonichthys capensis";"Chelidonyctis capensis";"syn"
"Chelidonichthys capensis";"Trigla capensis";"syn"
"Chelmon marginalis";"Chelmon marginalis";"acc"
"Chelmon marginalis";"Chelmo tricinctus";"syn"
"Chelmon marginalis";"Chelmon rostratus marginalis";"syn"
"Chelmon rostratus";"Chelmon rostratus";"acc"
"Chelmon rostratus";"Chaetodon enceladus";"syn"
"Chelmon rostratus";"Chaetodon rostratus";"syn"
"Chelmon rostratus";"Chelmo rostratus";"syn"
"Chelmonops curiosus";"Chelmonops curiosus";"acc"
"Chelmonops truncatus";"Chelmonops truncatus";"acc"
"Chelmonops truncatus";"Chaetodon truncatus";"syn"
"Chelmonops truncatus";"Chelmo trochilus";"syn"
"Chelmonops truncatus";"Chelmo truncatus";"syn"
"Chelmonops truncatus";"Chelmonops trochilus";"syn"
"Chelon auratus";"Chelon auratus";"acc"
"Chelon auratus";"Liza aurata";"syn"
"Chelon auratus";"Liza auratus";"syn"
"Chelon auratus";"Mugil auratus";"syn"
"Chelon auratus";"Mugil breviceps";"syn"
"Chelon auratus";"Mugil cryptocheilos";"syn"
"Chelon auratus";"Mugil cryptochilus";"syn"
"Chelon auratus";"Mugil lotreganus";"syn"
"Chelon auratus";"Mugil maderensis";"syn"
"Chelon auratus";"Mugil octoradiatus";"syn"
"Chelon auratus";"Planiliza aurata";"syn"
"Chelon labrosus";"Chelon labrosus";"acc"
"Chelon labrosus";"Chelon chelo";"syn"
"Chelon labrosus";"Crenimugil labrosus";"syn"
"Chelon labrosus";"Liza chelo";"syn"
"Chelon labrosus";"Mugil buosega";"syn"
"Chelon labrosus";"Mugil chelo";"syn"
"Chelon labrosus";"Mugil chelon";"syn"
"Chelon labrosus";"Mugil corrugatus";"syn"
"Chelon labrosus";"Mugil curtus";"syn"
"Chelon labrosus";"Mugil labrosus";"syn"
"Chelon labrosus";"Mugil septentrionalis";"syn"
"Chelon ramada";"Chelon ramada";"acc"
"Chelon ramada";"Liza alosoides";"syn"
"Chelon ramada";"Liza capito";"syn"
"Chelon ramada";"Liza ramada";"syn"
"Chelon ramada";"Liza ramado";"syn"
"Chelon ramada";"Mugil britannicus";"syn"
"Chelon ramada";"Mugil capito";"syn"
"Chelon ramada";"Mugil caustelus";"syn"
"Chelon ramada";"Mugil cephalus ramado";"syn"
"Chelon ramada";"Mugil dubahra";"syn"
"Chelon ramada";"Mugil petherici";"syn"
"Chelon ramada";"Mugil ramada";"syn"
"Chelon ramada";"Mugil ramado";"syn"
"Chelon ramada";"Myxus maroccensis";"syn"
"Chelon richardsonii";"Chelon richardsonii";"acc"
"Chelon richardsonii";"Liza richardsoni";"syn"
"Chelon richardsonii";"Liza richardsonii";"syn"
"Chelon richardsonii";"Mugil multilineatus";"syn"
"Chelon richardsonii";"Mugil richardsonii";"syn"
"Chelonodontops pleurospilus";"Chelonodontops pleurospilus";"acc"
"Chelonodontops pleurospilus";"Chelonodon pleurospilus";"syn"
"Chelonodontops pleurospilus";"Chelonodontops pulchellus";"syn"
"Chelonodontops pleurospilus";"Sphaeroides pleurospilus";"syn"
"Chelonodontops pleurospilus";"Sphoeroides pleurospilus";"syn"
"Chelonodontops pleurospilus";"Tetrodon pleurospilus";"syn"
"Chilomycterus antennatus";"Chilomycterus antennatus";"acc"
"Chilomycterus antennatus";"Chilomycterus briareos";"syn"
"Chilomycterus antennatus";"Cyclichthys antennatus";"syn"
"Chilomycterus antennatus";"Diodon antennatus";"syn"
"Chilomycterus reticulatus";"Chilomycterus reticulatus";"acc"
"Chilomycterus reticulatus";"Chilomycterus affinis";"syn"
"Chilomycterus reticulatus";"Chilomycterus atinga";"syn"
"Chilomycterus reticulatus";"Chilomycterus atringa";"syn"
"Chilomycterus reticulatus";"Diodon atringa";"syn"
"Chilomycterus reticulatus";"Diodon reticulatus";"syn"
"Chilomycterus reticulatus";"Diodon tigrinus";"syn"
"Chilomycterus reticulatus";"Euchilomycterus quadradicatus";"syn"
"Chirodactylus brachydactylus";"Chirodactylus brachydactylus";"acc"
"Chirodactylus brachydactylus";"Chilodactylus brevispinis";"syn"
"Chirodactylus brachydactylus";"Palunolepis brachydactylus";"syn"
"Chirodactylus spectabilis";"Chirodactylus spectabilis";"acc"
"Chirodactylus spectabilis";"Cheilodactylus allporti";"syn"
"Chirodactylus spectabilis";"Cheilodactylus asper";"syn"
"Chirodactylus spectabilis";"Cheilodactylus rubrofasciatus";"syn"
"Chirodactylus spectabilis";"Chilodactylus allporti";"syn"
"Chirodactylus spectabilis";"Chilodactylus asper";"syn"
"Chirodactylus spectabilis";"Chironemus spectabilis";"syn"
"Chirodactylus spectabilis";"Goniistius spectabilis";"syn"
"Chirolophis ascanii";"Chirolophis ascanii";"acc"
"Chirolophis ascanii";"Blenniops ascanii";"syn"
"Chirolophis ascanii";"Blennius gattorugine ascanii";"syn"
"Chirolophis ascanii";"Blennius gattorugine var. ascanii";"syn"
"Chirolophis ascanii";"Blennius pennantii";"syn"
"Chirolophis ascanii";"Blennius yarellii";"syn"
"Chirolophis ascanii";"Carelophus ascanii";"syn"
"Chirolophis ascanii";"Carelophus stroemii";"syn"
"Chirolophis ascanii";"Centronotus brosme";"syn"
"Chirolophis ascanii";"Chirolophus ascanii";"syn"
"Chirolophis ascanii";"Gunnellus stroemii";"syn"
"Chironemus maculosus";"Chironemus maculosus";"acc"
"Chironemus maculosus";"Threpterius maculosus";"syn"
"Chironemus marmoratus";"Chironemus marmoratus";"acc"
"Chironemus microlepis";"Chironemus microlepis";"acc"
"Chlorurus atrilunula";"Chlorurus atrilunula";"acc"
"Chlorurus atrilunula";"Scarus atrilunula";"syn"
"Chlorurus bleekeri";"Chlorurus bleekeri";"acc"
"Chlorurus bleekeri";"Callyodon bleekeri";"syn"
"Chlorurus bleekeri";"Scarus bleekeri";"syn"
"Chlorurus bowersi";"Chlorurus bowersi";"acc"
"Chlorurus bowersi";"Callyodon bowersi";"syn"
"Chlorurus bowersi";"Scarus bowersi";"syn"
"Chlorurus capistratoides";"Chlorurus capistratoides";"acc"
"Chlorurus capistratoides";"Scarus capistratoides";"syn"
"Chlorurus capistratoides";"Xanothon capistratoides";"syn"
"Chlorurus frontalis";"Chlorurus frontalis";"acc"
"Chlorurus frontalis";"Scarus frontalis";"syn"
"Chlorurus gibbus";"Chlorurus gibbus";"acc"
"Chlorurus gibbus";"Scarus gibbus";"syn"
"Chlorurus japanensis";"Chlorurus japanensis";"acc"
"Chlorurus japanensis";"Callyodon abacurus";"syn"
"Chlorurus japanensis";"Callyodon blochi";"syn"
"Chlorurus japanensis";"Callyodon japanensis";"syn"
"Chlorurus japanensis";"Callyodon pyrrhurus";"syn"
"Chlorurus japanensis";"Chlorurus pyrrhurus";"syn"
"Chlorurus japanensis";"Scarus blochii";"syn"
"Chlorurus japanensis";"Scarus japanensis";"syn"
"Chlorurus japanensis";"Scarus pyrrhurus";"syn"
"Chlorurus japanensis";"Scarus viridis";"syn"
"Chlorurus microrhinos";"Chlorurus microrhinos";"acc"
"Chlorurus microrhinos";"Callyodon microrhinus";"syn"
"Chlorurus microrhinos";"Callyodon ultramarinus";"syn"
"Chlorurus microrhinos";"Pseudoscarus microrhinos";"syn"
"Chlorurus microrhinos";"Scarus microrhinos";"syn"
"Chlorurus rhakoura";"Chlorurus rhakoura";"acc"
"Chlorurus sordidus";"Chlorurus sordidus";"acc"
"Chlorurus sordidus";"Callyodon albipunctatus";"syn"
"Chlorurus sordidus";"Callyodon bipallidus";"syn"
"Chlorurus sordidus";"Callyodon cyanogrammus";"syn"
"Chlorurus sordidus";"Callyodon erythrodon";"syn"
"Chlorurus sordidus";"Callyodon margaritus";"syn"
"Chlorurus sordidus";"Callyodon rostratus";"syn"
"Chlorurus sordidus";"Callyodon sordidus";"syn"
"Chlorurus sordidus";"Pseudoscarus goldiei";"syn"
"Chlorurus sordidus";"Pseudoscarus margaritus";"syn"
"Chlorurus sordidus";"Pseudoscarus platodoni";"syn"
"Chlorurus sordidus";"Pseudoscarus vitriolinus";"syn"
"Chlorurus sordidus";"Scaridea leucotaeniata";"syn"
"Chlorurus sordidus";"Scarus celebicus";"syn"
"Chlorurus sordidus";"Scarus erythrodon";"syn"
"Chlorurus sordidus";"Scarus gymnognathos";"syn"
"Chlorurus sordidus";"Scarus margaritus";"syn"
"Chlorurus sordidus";"Scarus nigricans";"syn"
"Chlorurus sordidus";"Scarus purpureus";"syn"
"Chlorurus sordidus";"Scarus sordidus";"syn"
"Chlorurus sordidus";"Scarus sumbawensis";"syn"
"Chlorurus sordidus";"Scarus variegatus";"syn"
"Chlorurus sordidus";"Xanothon bipallidus";"syn"
"Chlorurus sordidus";"Xanothon erythrodon";"syn"
"Chlorurus sordidus";"Xanothon margaritus";"syn"
"Chlorurus spilurus";"Chlorurus spilurus";"acc"
"Chlorurus spilurus";"Scarus spilurus";"syn"
"Chlorurus strongylocephalus";"Chlorurus strongylocephalus";"acc"
"Chlorurus strongylocephalus";"Callyodon strongylocephalus";"syn"
"Chlorurus strongylocephalus";"Scarus strongylocephalus";"syn"
"Choerodon anchorago";"Choerodon anchorago";"acc"
"Choerodon anchorago";"Choerodon weberi";"syn"
"Choerodon anchorago";"Choerops maeander";"syn"
"Choerodon anchorago";"Choerops meleagris";"syn"
"Choerodon anchorago";"Cossyphus macrodon";"syn"
"Choerodon anchorago";"Crenilabrus leucozona";"syn"
"Choerodon anchorago";"Labrus chlorodus";"syn"
"Choerodon anchorago";"Labrus macrodontus";"syn"
"Choerodon anchorago";"Sparus anchorago";"syn"
"Choerodon azurio";"Choerodon azurio";"acc"
"Choerodon azurio";"Choerops azurio";"syn"
"Choerodon azurio";"Crenilabrus stejnegeri";"syn"
"Choerodon azurio";"Labrus japonicus";"syn"
"Choerodon cauteroma";"Choerodon cauteroma";"acc"
"Choerodon cephalotes";"Choerodon cephalotes";"acc"
"Choerodon cephalotes";"Chaerops cephalotes";"syn"
"Choerodon cephalotes";"Chaerops hodgkinsonii";"syn"
"Choerodon cephalotes";"Chaerops macleayi";"syn"
"Choerodon cephalotes";"Chaerops perpulcher";"syn"
"Choerodon cephalotes";"Choerops hodgkinsonii";"syn"
"Choerodon cephalotes";"Choerops macleayi";"syn"
"Choerodon cephalotes";"Choerops perpulcher";"syn"
"Choerodon cyanodus";"Choerodon cyanodus";"acc"
"Choerodon cyanodus";"Choerodon albigena";"syn"
"Choerodon cyanodus";"Choerops albigena";"syn"
"Choerodon cyanodus";"Choerops concolor";"syn"
"Choerodon cyanodus";"Choerops olivaceus";"syn"
"Choerodon cyanodus";"Choerops unimaculatus";"syn"
"Choerodon cyanodus";"Labrus cyanodus";"syn"
"Choerodon fasciatus";"Choerodon fasciatus";"acc"
"Choerodon fasciatus";"Choerodon balerensis";"syn"
"Choerodon fasciatus";"Lepidaplois mirabilis";"syn"
"Choerodon fasciatus";"Lepidoplois mirabilis";"syn"
"Choerodon fasciatus";"Lienardella fasciata";"syn"
"Choerodon fasciatus";"Xiphochilus fasciatus";"syn"
"Choerodon graphicus";"Choerodon graphicus";"acc"
"Choerodon graphicus";"Choerodon transversalis";"syn"
"Choerodon graphicus";"Choerops graphicus";"syn"
"Choerodon jordani";"Choerodon jordani";"acc"
"Choerodon jordani";"Choerops jordani";"syn"
"Choerodon monostigma";"Choerodon monostigma";"acc"
"Choerodon rubescens";"Choerodon rubescens";"acc"
"Choerodon rubescens";"Choerops rubescens";"syn"
"Choerodon schoenleinii";"Choerodon schoenleinii";"acc"
"Choerodon schoenleinii";"Chaerops notatus";"syn"
"Choerodon schoenleinii";"Choerodon cyanostolus";"syn"
"Choerodon schoenleinii";"Choerodon quadrifasciatus";"syn"
"Choerodon schoenleinii";"Choerodon rubidus";"syn"
"Choerodon schoenleinii";"Choerodon schoenleini";"syn"
"Choerodon schoenleinii";"Choerops nyctemblema";"syn"
"Choerodon schoenleinii";"Cossyphus cyanostolus";"syn"
"Choerodon schoenleinii";"Cossyphus ommopterus";"syn"
"Choerodon schoenleinii";"Cossyphus schoenleinii";"syn"
"Choerodon schoenleinii";"Torresia australis";"syn"
"Choerodon schoenleinii";"Torresia lineata";"syn"
"Choerodon vitta";"Choerodon vitta";"acc"
"Chriolepis dialepta";"Chriolepis dialepta";"acc"
"Chromileptes altivelis";"Chromileptes altivelis";"acc"
"Chromis alpha";"Chromis alpha";"acc"
"Chromis alta";"Chromis alta";"acc"
"Chromis analis";"Chromis analis";"acc"
"Chromis analis";"Heliases analis";"syn"
"Chromis analis";"Heliases macrochir";"syn"
"Chromis atripectoralis";"Chromis atripectoralis";"acc"
"Chromis chromis";"Chromis chromis";"acc"
"Chromis chromis";"Chromis castanea";"syn"
"Chromis chromis";"Chromis mediteranea";"syn"
"Chromis chromis";"Heliastes castanea";"syn"
"Chromis chromis";"Heliastes chromis";"syn"
"Chromis chromis";"Sparus chromis";"syn"
"Chromis chrysura";"Chromis chrysura";"acc"
"Chromis chrysura";"Chromis isharae";"syn"
"Chromis chrysura";"Dascyllus isharae";"syn"
"Chromis chrysura";"Heliastes chrysurus";"syn"
"Chromis chrysura";"Heliastes chysurus";"syn"
"Chromis chrysura";"Lepicephalochromis westalli";"syn"
"Chromis chrysura";"Siphonochromis lepidostethicus";"syn"
"Chromis cinerascens";"Chromis cinerascens";"acc"
"Chromis cinerascens";"Chromis insulindicus";"syn"
"Chromis cinerascens";"Glyphisodon angulatus";"syn"
"Chromis cinerascens";"Glyphisodon javanicus";"syn"
"Chromis cinerascens";"Heliases cinerascens";"syn"
"Chromis crusma";"Chromis crusma";"acc"
"Chromis crusma";"Chromis cupreus";"syn"
"Chromis crusma";"Heliases crusma";"syn"
"Chromis dispila";"Chromis dispila";"acc"
"Chromis flavaxilla";"Chromis flavaxilla";"acc"
"Chromis flavomaculata";"Chromis flavomaculata";"acc"
"Chromis fumea";"Chromis fumea";"acc"
"Chromis fumea";"Chromis caudofasciata";"syn"
"Chromis fumea";"Pomacentrus fumeus";"syn"
"Chromis hypsilepis";"Chromis hypsilepis";"acc"
"Chromis hypsilepis";"Heliastes hypsilepis";"syn"
"Chromis insolata";"Chromis insolata";"acc"
"Chromis insolata";"Heliases insolatus";"syn"
"Chromis insolata";"Heliastes insolatus";"syn"
"Chromis klunzingeri";"Chromis klunzingeri";"acc"
"Chromis limbata";"Chromis limbata";"acc"
"Chromis limbata";"Heliases limbatus";"syn"
"Chromis limbata";"Heliazes marginatus";"syn"
"Chromis limbaughi";"Chromis limbaughi";"acc"
"Chromis nitida";"Chromis nitida";"acc"
"Chromis nitida";"Tetradrachmum nitidum";"syn"
"Chromis notata";"Chromis notata";"acc"
"Chromis notata";"Chromis miyakeensis";"syn"
"Chromis notata";"Chromis notatus miyakeensis";"syn"
"Chromis notata";"Chromis villadoldi";"syn"
"Chromis notata";"Chromis villadolidi";"syn"
"Chromis notata";"Heliases notatus";"syn"
"Chromis opercularis";"Chromis opercularis";"acc"
"Chromis opercularis";"Heliastes opercularis";"syn"
"Chromis ovalis";"Chromis ovalis";"acc"
"Chromis ovalis";"Chromis velox";"syn"
"Chromis ovalis";"Heliastes ovalis";"syn"
"Chromis pamae";"Chromis pamae";"acc"
"Chromis pelloura";"Chromis pelloura";"acc"
"Chromis pembae";"Chromis pembae";"acc"
"Chromis punctipinnis";"Chromis punctipinnis";"acc"
"Chromis punctipinnis";"Ayresia punctipinnis";"syn"
"Chromis randalli";"Chromis randalli";"acc"
"Chromis scotochiloptera";"Chromis scotochiloptera";"acc"
"Chromis scotti";"Chromis scotti";"acc"
"Chromis ternatensis";"Chromis ternatensis";"acc"
"Chromis ternatensis";"Chromis caerulea";"syn"
"Chromis ternatensis";"Chromis caeruleus";"syn"
"Chromis ternatensis";"Chromis coeruleus";"syn"
"Chromis ternatensis";"Chromis frenatus";"syn"
"Chromis ternatensis";"Chromis lepidurus";"syn"
"Chromis ternatensis";"Chromis philippinus";"syn"
"Chromis ternatensis";"Cromis ternatensis";"syn"
"Chromis ternatensis";"Heliases ternatensis";"syn"
"Chromis viridis";"Chromis viridis";"acc"
"Chromis viridis";"Dascyllus cyanurus";"syn"
"Chromis viridis";"Glyphisodon bandanensis";"syn"
"Chromis viridis";"Heliases frenatus";"syn"
"Chromis viridis";"Heliases lepisurus";"syn"
"Chromis viridis";"Pomacentrus viridis";"syn"
"Chromis weberi";"Chromis weberi";"acc"
"Chromis weberi";"Chromis simulanis";"syn"
"Chromis weberi";"Chromis simulans";"syn"
"Chromis weberi";"Pomacentrus weberi";"syn"
"Chromis westaustralis";"Chromis westaustralis";"acc"
"Chromis xanthochira";"Chromis xanthochira";"acc"
"Chromis xanthochira";"Chromis reticulatus";"syn"
"Chromis xanthochira";"Chromis xanthocira";"syn"
"Chromis xanthochira";"Heliases xanthochirus";"syn"
"Chromis xanthura";"Chromis xanthura";"acc"
"Chromis xanthura";"Heliases xanthurus";"syn"
"Chromis xutha";"Chromis xutha";"acc"
"Chrysiptera biocellata";"Chrysiptera biocellata";"acc"
"Chrysiptera biocellata";"Abudefduf biocellatus";"syn"
"Chrysiptera biocellata";"Abudefduf zonatus";"syn"
"Chrysiptera biocellata";"Chromis cinctus";"syn"
"Chrysiptera biocellata";"Chrysiptera biocellatus";"syn"
"Chrysiptera biocellata";"Chrysoptera biocellata";"syn"
"Chrysiptera biocellata";"Glyphidodon albocinctus";"syn"
"Chrysiptera biocellata";"Glyphidodon antjerius fasciatus";"syn"
"Chrysiptera biocellata";"Glyphidodon cingulatus";"syn"
"Chrysiptera biocellata";"Glyphidodontops biocellatus";"syn"
"Chrysiptera biocellata";"Glyphisodon albocinctus";"syn"
"Chrysiptera biocellata";"Glyphisodon antjerius";"syn"
"Chrysiptera biocellata";"Glyphisodon antjerius fasciatus";"syn"
"Chrysiptera biocellata";"Glyphisodon balinensis";"syn"
"Chrysiptera biocellata";"Glyphisodon biocellatus";"syn"
"Chrysiptera biocellata";"Glyphisodon punctulatus";"syn"
"Chrysiptera biocellata";"Glyphisodon rossii";"syn"
"Chrysiptera biocellata";"Glyphisodon zonatus";"syn"
"Chrysiptera biocellata";"Heliastes cinctus";"syn"
"Chrysiptera bleekeri";"Chrysiptera bleekeri";"acc"
"Chrysiptera bleekeri";"Abudefduf bleekeri";"syn"
"Chrysiptera brownriggii";"Chrysiptera brownriggii";"acc"
"Chrysiptera brownriggii";"Abudefduf miyakoe";"syn"
"Chrysiptera brownriggii";"Abudefduf xanthozona";"syn"
"Chrysiptera brownriggii";"Abudefduf xanthozonus";"syn"
"Chrysiptera brownriggii";"Chaetodon brownriggii";"syn"
"Chrysiptera brownriggii";"Chrysiptera albofasciata";"syn"
"Chrysiptera brownriggii";"Chrysiptera brownriggi";"syn"
"Chrysiptera brownriggii";"Chrysiptera leucopoma";"syn"
"Chrysiptera brownriggii";"Chrysiptera leucopomus";"syn"
"Chrysiptera brownriggii";"Chrysiptera xanthozona";"syn"
"Chrysiptera brownriggii";"Glyphidodon amabilis";"syn"
"Chrysiptera brownriggii";"Glyphidodon taenioruptus";"syn"
"Chrysiptera brownriggii";"Glyphidodon xanthozona";"syn"
"Chrysiptera brownriggii";"Glyphidodontops leucopomus";"syn"
"Chrysiptera brownriggii";"Glyphisodon albofasciatus";"syn"
"Chrysiptera brownriggii";"Glyphisodon leucopomus";"syn"
"Chrysiptera brownriggii";"Glyphisodon xanthozona";"syn"
"Chrysiptera caesifrons";"Chrysiptera caesifrons";"acc"
"Chrysiptera cyanea";"Chrysiptera cyanea";"acc"
"Chrysiptera cyanea";"Abudefduf assimilis";"syn"
"Chrysiptera cyanea";"Abudefduf cyaneus";"syn"
"Chrysiptera cyanea";"Abudefduf sapphirus";"syn"
"Chrysiptera cyanea";"Abudefduf turchesius";"syn"
"Chrysiptera cyanea";"Abudefduf uniocellatus";"syn"
