"name","kingdom","phylum","class","order","family","genus","species"
"Neoglyphidodon carlsoni","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Neoglyphidodon","Neoglyphidodon carlsoni"
"Neoglyphidodon crossi","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Neoglyphidodon","Neoglyphidodon crossi"
"Neoglyphidodon melas","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Neoglyphidodon","Neoglyphidodon melas"
"Neoglyphidodon nigroris","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Neoglyphidodon","Neoglyphidodon nigroris"
"Neoglyphidodon oxyodon","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Neoglyphidodon","Neoglyphidodon oxyodon"
"Neoglyphidodon polyacanthus","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Neoglyphidodon","Neoglyphidodon polyacanthus"
"Neoglyphidodon thoracotaeniatus","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Neoglyphidodon","Neoglyphidodon thoracotaeniatus"
"Neomyxus leuciscus","Animalia","Chordata","Teleostei","Mugiliformes","Mugilidae","Neomyxus","Neomyxus leuciscus"
"Neoniphon argenteus","Animalia","Chordata","Teleostei","Holocentriformes","Holocentridae","Neoniphon","Neoniphon argenteus"
"Neoniphon marianus","Animalia","Chordata","Teleostei","Holocentriformes","Holocentridae","Neoniphon","Neoniphon marianus"
"Neoniphon opercularis","Animalia","Chordata","Teleostei","Holocentriformes","Holocentridae","Neoniphon","Neoniphon opercularis"
"Neoniphon sammara","Animalia","Chordata","Teleostei","Holocentriformes","Holocentridae","Neoniphon","Neoniphon sammara"
"Neoodax balteatus","Animalia","Chordata","Teleostei","Eupercaria incertae sedis","Odacidae","Neoodax","Neoodax balteatus"
"Neopomacentrus anabatoides","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Neopomacentrus","Neopomacentrus anabatoides"
"Neopomacentrus aquadulcis","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Neopomacentrus","Neopomacentrus aquadulcis"
"Neopomacentrus azysron","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Neopomacentrus","Neopomacentrus azysron"
"Neopomacentrus bankieri","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Neopomacentrus","Neopomacentrus bankieri"
"Neopomacentrus cyanomos","Animalia","Chordata","Teleostei","Ovalentaria incertae sedis","Pomacentridae","Neopomacentrus","Neopomacentrus cyanomos"
