"fb_sci_name","gbif_valid_key","gbif_valid_name","gbif_synonym"
"Dascyllus albisella",5212038,"Dascyllus albisella",FALSE
"Dascyllus aruanus",5212047,"Dascyllus aruanus",FALSE
"Dascyllus carneus",5212042,"Dascyllus carneus",FALSE
"Dascyllus flavicaudus",5212050,"Dascyllus flavicaudus",FALSE
"Dascyllus marginatus",5212036,"Dascyllus marginatus",FALSE
"Dascyllus melanurus",5212037,"Dascyllus melanurus",FALSE
"Dascyllus reticulatus",5212044,"Dascyllus reticulatus",FALSE
"Dascyllus strasburgi",5212041,"Dascyllus strasburgi",FALSE
"Dascyllus trimaculatus",5212031,"Dascyllus trimaculatus",FALSE
"Decapterus koheru",2391034,"Decapterus koheru",FALSE
"Decapterus macarellus",2391064,"Decapterus macarellus",FALSE
"Decapterus muroadsi",2391060,"Decapterus muroadsi",FALSE
"Decapterus punctatus",2391041,"Decapterus punctatus",FALSE
"Dellichthys morelandi",2411370,"Dellichthys morelandi",FALSE
"Dendrochirus barberi",2334541,"Dendrochirus barberi",FALSE
"Dendrochirus zebra",2334538,"Dendrochirus zebra",FALSE
"Dentex dentex",2392679,"Dentex dentex",FALSE
"Dermatolepis dermatolepis",2389130,"Dermatolepis dermatolepis",FALSE
"Diademichthys lineatus",2411384,"Diademichthys lineatus",FALSE
"Diagramma labiosum",5209597,"Diagramma labiosum",FALSE
"Diagramma melanacrum",5209592,"Diagramma melanacrum",FALSE
"Dialommus fuscus",2389574,"Dialommus fuscus",FALSE
"Dicentrarchus labrax",2394622,"Dicentrarchus labrax",FALSE
"Dicentrarchus punctatus",2394640,"Dicentrarchus punctatus",FALSE
"Dichistius capensis",2392263,"Dichistius capensis",FALSE
"Dicotylichthys punctulatus",2406508,"Dicotylichthys punctulatus",FALSE
"Didogobius amicuscaridis",2378244,"Didogobius amicuscaridis",FALSE
"Dinolestes lewini",2394201,"Dinolestes lewini",FALSE
"Diodon holocanthus",5213361,"Diodon holocanthus",FALSE
"Diodon hystrix",5213374,"Diodon hystrix",FALSE
"Diodon liturosus",5213358,"Diodon liturosus",FALSE
"Diodon nicthemerus",5213388,"Diodon nicthemerus",FALSE
"Diplodus annularis",5210983,"Diplodus annularis",FALSE
"Diplodus argenteus",5712109,"Diplodus argenteus",FALSE
"Diplodus capensis",5210964,"Diplodus capensis",FALSE
"Diplodus cervinus",5712108,"Diplodus cervinus",FALSE
"Diplodus puntazzo",9777888,"Diplodus puntazzo",FALSE
"Diplodus sargus",5210968,"Diplodus sargus",FALSE
"Diplodus vulgaris",5210979,"Diplodus vulgaris",FALSE
"Diplogrammus goramensis",5209946,"Diplogrammus goramensis",FALSE
"Diplogrammus xenicus",5209948,"Diplogrammus xenicus",FALSE
"Diploprion bifasciatum",9567728,"Diploprion bifasciatum",FALSE
"Diproctacanthus xanthurus",2383395,"Diproctacanthus xanthurus",FALSE
"Dipterygonotus balteatus",2374804,"Dipterygonotus balteatus",FALSE
"Dischistodus chrysopoecilus",2398215,"Dischistodus chrysopoecilus",FALSE
"Dischistodus darwiniensis",2398204,"Dischistodus darwiniensis",FALSE
"Dischistodus melanotus",2398206,"Dischistodus melanotus",FALSE
"Dischistodus perspicillatus",2398191,"Dischistodus perspicillatus",FALSE
"Dischistodus prosopotaenia",2398200,"Dischistodus prosopotaenia",FALSE
"Dischistodus pseudochrysopoecilus",2398189,"Dischistodus pseudochrysopoecilus",FALSE
"Doratonotus megalepis",5209736,"Doratonotus megalepis",FALSE
"Dotalabrus alleni",2383373,"Dotalabrus alleni",FALSE
"Dotalabrus aurantiacus",2383374,"Dotalabrus aurantiacus",FALSE
"Dules auriga",2388707,"Dules auriga",FALSE
"Echeneis naucrates",2375300,"Echeneis naucrates",FALSE
"Echeneis neucratoides",2375299,"Echeneis neucratoides",FALSE
"Echidna nebulosa",5213106,"Echidna nebulosa",FALSE
"Echidna nocturna",5213099,"Echidna nocturna",FALSE
"Ecsenius aequalis",2396048,"Ecsenius aequalis",FALSE
"Ecsenius alleni",2396079,"Ecsenius alleni",FALSE
"Ecsenius bandanus",2396042,"Ecsenius bandanus",FALSE
"Ecsenius bathi",2396038,"Ecsenius bathi",FALSE
"Ecsenius bicolor",2396049,"Ecsenius bicolor",FALSE
"Ecsenius fijiensis",2396056,"Ecsenius fijiensis",FALSE
"Ecsenius fourmanoiri",2396032,"Ecsenius fourmanoiri",FALSE
"Ecsenius frontalis",2396033,"Ecsenius frontalis",FALSE
"Ecsenius gravieri",2396085,"Ecsenius gravieri",FALSE
"Ecsenius kurti",2396069,"Ecsenius kurti",FALSE
"Ecsenius lineatus",2396063,"Ecsenius lineatus",FALSE
"Ecsenius lividanalis",2396026,"Ecsenius lividanalis",FALSE
"Ecsenius midas",2396077,"Ecsenius midas",FALSE
"Ecsenius minutus",2396020,"Ecsenius minutus",FALSE
"Ecsenius nalolo",2396021,"Ecsenius nalolo",FALSE
"Ecsenius namiyei",2396040,"Ecsenius namiyei",FALSE
"Ecsenius oculatus",2396018,"Ecsenius oculatus",FALSE
"Ecsenius prooculis",2396046,"Ecsenius prooculis",FALSE
"Ecsenius randalli",2396074,"Ecsenius randalli",FALSE
"Ecsenius schroederi",2396081,"Ecsenius schroederi",FALSE
"Ecsenius stictus",2396043,"Ecsenius stictus",FALSE
"Ecsenius stigmatura",2396064,"Ecsenius stigmatura",FALSE
"Ecsenius tigris",2396059,"Ecsenius tigris",FALSE
"Ecsenius tricolor",2396082,"Ecsenius tricolor",FALSE
"Ecsenius trilineatus",2396029,"Ecsenius trilineatus",FALSE
"Ecsenius yaeyamaensis",2396022,"Ecsenius yaeyamaensis",FALSE
"Ekemblemaria myersi",2381366,"Ekemblemaria myersi",FALSE
"Elacatinus atronasus",2376700,"Elacatinus atronasus",FALSE
"Elacatinus cayman",8060214,"Elacatinus cayman",FALSE
"Elacatinus centralis",7949320,"Elacatinus centralis",FALSE
"Elacatinus evelynae",2376749,"Elacatinus evelynae",FALSE
"Elacatinus figaro",2376732,"Elacatinus figaro",FALSE
"Elacatinus genie",2376707,"Elacatinus genie",FALSE
"Elacatinus horsti",2376688,"Elacatinus horsti",FALSE
"Elacatinus jarocho",2376706,"Elacatinus jarocho",FALSE
"Elacatinus oceanops",2376717,"Elacatinus oceanops",FALSE
"Elacatinus prochilos",2376691,"Elacatinus prochilos",FALSE
"Elacatinus puncticulatus",2376694,"Elacatinus puncticulatus",FALSE
"Elacatinus randalli",2376740,"Elacatinus randalli",FALSE
"Elacatinus xanthiprora",2376724,"Elacatinus xanthiprora",FALSE
"Elagatis bipinnulata",5210446,"Elagatis bipinnulata",FALSE
"Eleotrica cableae",2377804,"Eleotrica cableae",FALSE
"Elops affinis",5203150,"Elops affinis",FALSE
"Embiotoca jacksoni",2389282,"Embiotoca jacksoni",FALSE
"Embiotoca lateralis",2389287,"Embiotoca lateralis",FALSE
"Emblemariopsis pricei",2381452,"Emblemariopsis pricei",FALSE
"Emblemariopsis signifer",5788047,"Emblemariopsis signifer",FALSE
"Enchelycore lichenosa",2404198,"Enchelycore lichenosa",FALSE
"Enchelycore ramosa",2404206,"Enchelycore ramosa",FALSE
"Engraulis australis",2414019,"Engraulis australis",FALSE
"Enneanectes carminalis",2393073,"Enneanectes carminalis",FALSE
"Enneanectes smithi",2393081,"Enneanectes smithi",FALSE
"Enneapterygius atrogulare",2392972,"Enneapterygius atrogulare",FALSE
"Enneapterygius hemimelas",2392913,"Enneapterygius hemimelas",FALSE
"Enneapterygius kermadecensis",2392979,"Enneapterygius kermadecensis",FALSE
"Enneapterygius larsonae",2392945,"Enneapterygius larsonae",FALSE
"Enneapterygius mirabilis",2392932,"Enneapterygius mirabilis",FALSE
"Enneapterygius rufopileus",2392984,"Enneapterygius rufopileus",FALSE
"Enneapterygius similis",2392978,"Enneapterygius similis",FALSE
"Enophrys diceraus",5201186,"Enophrys diceraus",FALSE
"Enoplosus armatus",2391990,"Enoplosus armatus",FALSE
"Entomacrodus chapmani",2395663,"Entomacrodus chapmani",FALSE
"Entomacrodus solus",5961982,"Entomacrodus solus",FALSE
"Eocallionymus papilio",2386616,"Eocallionymus papilio",FALSE
"Epibulus brevis",2383811,"Epibulus brevis",FALSE
"Epibulus insidiator",2383808,"Epibulus insidiator",FALSE
"Epinephelides armatus",2387524,"Epinephelides armatus",FALSE
"Epinephelus adscensionis",2388519,"Epinephelus adscensionis",FALSE
"Epinephelus akaara",2388493,"Epinephelus akaara",FALSE
"Epinephelus albomarginatus",8652393,"Epinephelus albomarginatus",FALSE
"Epinephelus analogus",2388598,"Epinephelus analogus",FALSE
"Epinephelus areolatus",2388152,"Epinephelus areolatus",FALSE
"Epinephelus bilobatus",2388379,"Epinephelus bilobatus",FALSE
"Epinephelus bleekeri",2388337,"Epinephelus bleekeri",FALSE
"Epinephelus bruneus",2388240,"Epinephelus bruneus",FALSE
"Epinephelus coeruleopunctatus",2388316,"Epinephelus coeruleopunctatus",FALSE
"Epinephelus coioides",2388213,"Epinephelus coioides",FALSE
"Epinephelus corallicola",2387823,"Epinephelus corallicola",FALSE
"Epinephelus costae",2388567,"Epinephelus costae",FALSE
"Epinephelus cyanopodus",2388288,"Epinephelus cyanopodus",FALSE
"Epinephelus daemelii",2388158,"Epinephelus daemelii",FALSE
"Epinephelus fasciatus",2388344,"Epinephelus fasciatus",FALSE
"Epinephelus fuscoguttatus",2388440,"Epinephelus fuscoguttatus",FALSE
"Epinephelus guttatus",2388558,"Epinephelus guttatus",FALSE
"Epinephelus hexagonatus",2388186,"Epinephelus hexagonatus",FALSE
"Epinephelus irroratus",2388431,"Epinephelus irroratus",FALSE
"Epinephelus itajara",2388456,"Epinephelus itajara",FALSE
"Epinephelus labriformis",2388503,"Epinephelus labriformis",FALSE
"Epinephelus lanceolatus",2388587,"Epinephelus lanceolatus",FALSE
"Epinephelus longispinis",2388226,"Epinephelus longispinis",FALSE
"Epinephelus macrospilos",2388141,"Epinephelus macrospilos",FALSE
"Epinephelus maculatus",2388229,"Epinephelus maculatus",FALSE
"Epinephelus malabaricus",2388220,"Epinephelus malabaricus",FALSE
"Epinephelus marginatus",2388507,"Epinephelus marginatus",FALSE
"Epinephelus melanostigma",2388335,"Epinephelus melanostigma",FALSE
"Epinephelus merra",2388193,"Epinephelus merra",FALSE
"Epinephelus morio",2388373,"Epinephelus morio",FALSE
"Epinephelus multinotatus",2388150,"Epinephelus multinotatus",FALSE
"Epinephelus ongus",2388318,"Epinephelus ongus",FALSE
"Epinephelus polyphekadion",2388423,"Epinephelus polyphekadion",FALSE
"Epinephelus quoyanus",2388148,"Epinephelus quoyanus",FALSE
"Epinephelus rivulatus",2388492,"Epinephelus rivulatus",FALSE
"Epinephelus socialis",2388537,"Epinephelus socialis",FALSE
"Epinephelus spilotoceps",2388181,"Epinephelus spilotoceps",FALSE
"Epinephelus striatus",2388300,"Epinephelus striatus",FALSE
"Epinephelus tauvina",2388137,"Epinephelus tauvina",FALSE
"Epinephelus tukula",2388439,"Epinephelus tukula",FALSE
"Epinephelus undulatostriatus",2388408,"Epinephelus undulatostriatus",FALSE
"Equetus punctatus",2399849,"Equetus punctatus",FALSE
"Eubalichthys bucephalus",2406859,"Eubalichthys bucephalus",FALSE
"Eubalichthys caeruleoguttatus",2406864,"Eubalichthys caeruleoguttatus",FALSE
"Eubalichthys cyanoura",2406858,"Eubalichthys cyanoura",FALSE
"Eubalichthys gunnii",2406862,"Eubalichthys gunnii",FALSE
"Eubalichthys mosaicus",2406866,"Eubalichthys mosaicus",FALSE
"Eucinostomus dowii",2369474,"Eucinostomus dowii",FALSE
"Eupetrichthys angustipes",2383931,"Eupetrichthys angustipes",FALSE
"Euthynnus affinis",5208561,"Euthynnus affinis",FALSE
"Euthynnus lineatus",5208567,"Euthynnus lineatus",FALSE
"Eutrigla gurnardus",2336597,"Eutrigla gurnardus",FALSE
"Eviota albolineata",2376185,"Eviota albolineata",FALSE
"Eviota atriventris",7193152,"Eviota atriventris",FALSE
"Eviota bifasciata",2376162,"Eviota bifasciata",FALSE
"Eviota bimaculata",2376144,"Eviota bimaculata",FALSE
"Eviota fasciola",2376145,"Eviota fasciola",FALSE
"Eviota guttata",2376190,"Eviota guttata",FALSE
"Eviota hoesei",2376177,"Eviota hoesei",FALSE
"Eviota lachdeberei",2376196,"Eviota lachdeberei",FALSE
"Eviota latifasciata",2376187,"Eviota latifasciata",FALSE
