"gbif_valid_name","fb_sci_name","gbif_valid_key","gbif_synonym","GBIF_NC_records","GBIF_NC_n_cells_005"
"Abalistes stellatus","Abalistes stellatus",2407216,FALSE,4072,1965
"Abudefduf abdominalis","Abudefduf abdominalis",2398692,FALSE,776,216
"Abudefduf bengalensis","Abudefduf bengalensis",2398657,FALSE,1110,422
"Abudefduf concolor","Abudefduf concolor",2398689,FALSE,146,72
"Abudefduf conformis","Abudefduf conformis",2398622,FALSE,12,10
"Abudefduf notatus","Abudefduf notatus",2398703,FALSE,91,54
"Abudefduf saxatilis","Abudefduf saxatilis",2398623,FALSE,7356,1060
"Abudefduf septemfasciatus","Abudefduf septemfasciatus",2398628,FALSE,377,201
"Abudefduf sexfasciatus","Abudefduf sexfasciatus",2398669,FALSE,2146,813
"Abudefduf sordidus","Abudefduf sordidus",2398682,FALSE,1173,457
"Abudefduf sparoides","Abudefduf sparoides",2398625,FALSE,100,51
"Abudefduf troschelii","Abudefduf troschelii",2398672,FALSE,1128,356
"Abudefduf vaigiensis","Abudefduf vaigiensis",2398634,FALSE,2657,1163
"Abudefduf whitleyi","Abudefduf whitleyi",2398633,FALSE,358,109
"Acanthaluteres brownii","Acanthaluteres brownii",2406699,FALSE,246,94
"Acanthaluteres spilomelanurus","Acanthaluteres spilomelanurus",2406696,FALSE,470,137
"Acanthaluteres vittiger","Acanthaluteres vittiger",2406702,FALSE,1691,421
"Acanthemblemaria atrata","Acanthemblemaria atrata",2381373,FALSE,8,7
"Acanthemblemaria castroi","Acanthemblemaria castroi",2381381,FALSE,12,12
"Acanthemblemaria crockeri","Acanthemblemaria crockeri",2381377,FALSE,23,20
"Acanthemblemaria hancocki","Acanthemblemaria hancocki",2381370,FALSE,35,28
"Acanthemblemaria spinosa","Acanthemblemaria spinosa",2381382,FALSE,231,110
"Acanthemblemaria stephensi","Acanthemblemaria stephensi",2381388,FALSE,1,1
"Acanthistius cinctus","Acanthistius cinctus",2388070,FALSE,137,31
