"gbif_valid_name","fb_sci_name","gbif_valid_key","gbif_synonym","GBIF_NC_records","GBIF_NC_n_cells_05"
"Chromis vanderbilti","Pycnochromis vanderbilti",5212250,TRUE,4344,178
"Chromis viridis","Chromis viridis",5212219,FALSE,1549,286
"Chromis weberi","Chromis weberi",5212140,FALSE,1347,195
"Chromis westaustralis","Chromis westaustralis",5212239,FALSE,242,17
"Chromis xanthochira","Chromis xanthochira",5212195,FALSE,63,39
"Chromis xanthura","Chromis xanthura",5212176,FALSE,2859,183
"Chromis xutha","Chromis xutha",5212249,FALSE,3,2
"Chrysiptera biocellata","Chrysiptera biocellata",2399278,FALSE,226,79
"Chrysiptera bleekeri","Chrysiptera bleekeri",2399332,FALSE,17,7
"Chrysiptera brownriggii","Chrysiptera brownriggii",2399220,FALSE,1239,123
"Chrysiptera caesifrons","Chrysiptera caesifrons",8844420,FALSE,82,24
"Chrysiptera cyanea","Chrysiptera cyanea",2399295,FALSE,231,79
"Chrysiptera flavipinnis","Chrysiptera flavipinnis",2399205,FALSE,306,39
"Chrysiptera galba","Chrysiptera galba",2399311,FALSE,27,10
"Chrysiptera glauca","Chrysiptera glauca",2399245,FALSE,174,69
"Chrysiptera hemicyanea","Chrysiptera hemicyanea",2399258,FALSE,59,17
"Chrysiptera notialis","Chrysiptera notialis",2399266,FALSE,303,17
"Chrysiptera oxycephala","Chrysiptera oxycephala",2399313,FALSE,16,9
"Chrysiptera parasema","Chrysiptera parasema",2399271,FALSE,16,9
"Chrysiptera rapanui","Chrysiptera rapanui",2399268,FALSE,56,8
"Chrysiptera rex","Chrysiptera rex",2399262,FALSE,1361,60
"Chrysiptera rollandi","Chrysiptera rollandi",2399255,FALSE,2373,138
"Chrysiptera springeri","Chrysiptera springeri",2399218,FALSE,51,25
"Chrysiptera starcki","Chrysiptera starcki",2399328,FALSE,19,16
"Chrysiptera talboti","Chrysiptera talboti",2399209,FALSE,1540,117
"Chrysiptera taupou","Chrysiptera taupou",2399324,FALSE,1115,84
"Chrysiptera traceyi","Chrysiptera traceyi",2399322,FALSE,349,23
"Chrysiptera tricincta","Chrysiptera tricincta",2399273,FALSE,10,8
"Chrysiptera unimaculata","Chrysiptera unimaculata",2399211,FALSE,209,99
"Chrysoblephus cristiceps","Chrysoblephus cristiceps",2392425,FALSE,47,6
"Chrysoblephus gibbiceps","Chrysoblephus gibbiceps",2392436,FALSE,84,16
"Chrysoblephus laticeps","Chrysoblephus laticeps",2392427,FALSE,340,12
"Cirrhilabrus cyanopleura","Cirrhilabrus cyanopleura",2383829,FALSE,178,50
"Cirrhilabrus exquisitus","Cirrhilabrus exquisitus",2383873,FALSE,493,106
"Cirrhilabrus flavidorsalis","Cirrhilabrus flavidorsalis",2383863,FALSE,13,7
"Cirrhilabrus katherinae","Cirrhilabrus katherinae",2383867,FALSE,477,36
"Cirrhilabrus laboutei","Cirrhilabrus laboutei",2383853,FALSE,33,21
"Cirrhilabrus lineatus","Cirrhilabrus lineatus",2383855,FALSE,7,5
"Cirrhilabrus punctatus","Cirrhilabrus punctatus",2383818,FALSE,689,118
"Cirrhilabrus randalli","Cirrhilabrus randalli",2383851,FALSE,20,6
"Cirrhilabrus scottorum","Cirrhilabrus scottorum",2383842,FALSE,334,30
"Cirrhilabrus solorensis","Cirrhilabrus solorensis",2383832,FALSE,44,21
"Cirrhilabrus temminckii","Cirrhilabrus temminckii",2383837,FALSE,157,37
"Cirrhilabrus walindi","Cirrhilabrus walindi",2383865,FALSE,4,2
"Cirrhitichthys aprinus","Cirrhitichthys aprinus",2375156,FALSE,798,91
"Cirrhitichthys falco","Cirrhitichthys falco",2375162,FALSE,1128,194
"Cirrhitichthys oxycephalus","Cirrhitichthys oxycephalus",2375154,FALSE,1301,230
"Cirrhitops fasciatus","Cirrhitops fasciatus",2375117,FALSE,1247,51
"Cirrhitops hubbardi","Cirrhitops hubbardi",2375121,FALSE,118,12
"Cirrhitus pinnulatus","Cirrhitus pinnulatus",2375089,FALSE,1016,114
"Cirrhitus rivulatus","Cirrhitus rivulatus",2375087,FALSE,618,83
"Cirripectes alboapicalis","Cirripectes alboapicalis",2395817,FALSE,110,12
"Cirripectes alleni","Cirripectes alleni",2395820,FALSE,15,4
"Cirripectes auritus","Cirripectes auritus",2395853,FALSE,20,9
"Cirripectes castaneus","Cirripectes castaneus",2395832,FALSE,182,76
"Cirripectes chelomatus","Cirripectes chelomatus",2395808,FALSE,145,29
"Cirripectes filamentosus","Cirripectes filamentosus",2395821,FALSE,244,44
"Cirripectes fuscoguttatus","Cirripectes fuscoguttatus",2395854,FALSE,8,5
"Cirripectes hutchinsi","Cirripectes hutchinsi",2395825,FALSE,86,9
"Cirripectes polyzona","Cirripectes polyzona",2395840,FALSE,148,42
"Cirripectes springeri","Cirripectes springeri",2395858,FALSE,15,12
"Cirripectes stigmaticus","Cirripectes stigmaticus",2395829,FALSE,397,84
"Cirripectes vanderbilti","Cirripectes vanderbilti",2395805,FALSE,749,47
"Cirripectes variolosus","Cirripectes variolosus",2395833,FALSE,1139,56
"Cleidopus gloriamaris","Cleidopus gloriamaris",2356693,FALSE,418,57
"Clepticus parrae","Clepticus parrae",5209750,FALSE,3136,65
"Clinus latipennis","Clinus latipennis",2380322,FALSE,2,1
"Clinus superciliosus","Clinus superciliosus",2380304,FALSE,311,24
"Clinus venustris","Clinus venustris",2380302,FALSE,214,5
"Cnidoglanis macrocephalus","Cnidoglanis macrocephalus",2341943,FALSE,920,77
"Cochleoceps bicolor","Cochleoceps bicolor",2411236,FALSE,102,13
"Cochleoceps orientalis","Cochleoceps orientalis",2411240,FALSE,331,17
"Conger verreauxi","Conger verreauxi",2403512,FALSE,584,137
"Congiopodus peruvianus","Congiopodus peruvianus",2336927,FALSE,2958,171
"Conniella apterygia","Conniella apterygia",2383277,FALSE,1,1
"Coradion altivelis","Coradion altivelis",2385654,FALSE,433,83
"Coradion chrysozonus","Coradion chrysozonus",2385650,FALSE,1188,156
"Coris auricularis","Coris auricularis",5209799,FALSE,1845,42
"Coris aurilineata","Coris aurilineata",5209772,FALSE,52,17
"Coris aygula","Coris aygula",5209766,FALSE,3992,252
"Coris batuensis","Coris batuensis",5209784,FALSE,726,146
"Coris bulbifrons","Coris bulbifrons",5209765,FALSE,444,16
"Coris caudimacula","Coris caudimacula",5209763,FALSE,410,70
"Coris centralis","Coris centralis",5209777,FALSE,170,8
"Coris cuvieri","Coris cuvieri",5209816,FALSE,126,33
"Coris debueni","Coris debueni",5209778,FALSE,17,2
"Coris dorsomacula","Coris dorsomacula",5209823,FALSE,388,99
"Coris formosa","Coris formosa",5209768,FALSE,111,38
"Coris gaimard","Coris gaimard",5209802,FALSE,3925,322
"Coris hewetti","Coris hewetti",5209797,FALSE,13,3
"Coris julis","Coris julis",5209780,FALSE,5843,295
"Coris picta","Coris picta",5209794,FALSE,812,38
"Coris pictoides","Coris pictoides",5209819,FALSE,175,58
"Coris roseoviridis","Coris roseoviridis",5209795,FALSE,12,5
