rls_sci_name;TW_tweet;TW_retweet;TW_favorite;TW_reply
Engraulis australis;3;0;1;3
Enneanectes carminalis;1;0;0;0
Enneanectes smithi;2;15;53;6
Enneapterygius atrogulare;8;5;10;1
Enneapterygius hemimelas;2;0;1;0
Enneapterygius kermadecensis;0;0;0;0
Enneapterygius larsonae;0;0;0;0
Enneapterygius mirabilis;0;0;0;0
Enneapterygius rufopileus;0;0;0;0
Enneapterygius similis;1;0;0;0
Enophrys diceraus;12;51;148;3
Enoplosus armatus;34;50;162;2
Entomacrodus chapmani;1;0;3;2
Entomacrodus solus;2;0;0;0
Eocallionymus papilio;3;1;0;0
Epibulus brevis;4;3;7;1
Epibulus insidiator;67;374;892;36
Epinephelides armatus;0;0;0;0
Epinephelus adscensionis;36;12;28;2
Epinephelus akaara;38;23;76;1
Epinephelus albomarginatus;4;0;0;0
Epinephelus analogus;4;0;0;0
Epinephelus areolatus;29;137;43;2
Epinephelus bilobatus;0;0;0;0
Epinephelus bleekeri;14;4;0;0
Epinephelus bruneus;35;5;32;2
Epinephelus coeruleopunctatus;15;3;6;1
Epinephelus coioides;49;41;80;5
Epinephelus corallicola;6;0;1;1
Epinephelus costae;38;40;121;11
Epinephelus cyanopodus;4;13;74;0
Epinephelus daemelii;18;23;108;3
Epinephelus fasciatus;57;45;100;6
Epinephelus fuscoguttatus;83;47;74;18
Epinephelus guttatus;17;10;9;1
Epinephelus hexagonatus;5;1;0;0
Epinephelus irroratus;0;0;0;0
Epinephelus itajara;76;1103;1824;82
Epinephelus labriformis;6;8;27;0
Epinephelus lanceolatus;63;241;300;28
Epinephelus longispinis;8;1;5;0
Epinephelus macrospilos;12;4;14;1
Epinephelus maculatus;12;29;119;0
Epinephelus malabaricus;77;21;53;3
Epinephelus marginatus;121;77;243;21
Epinephelus melanostigma;1;0;0;0
Epinephelus merra;34;70;325;6
Epinephelus morio;37;8;56;3
Epinephelus multinotatus;12;2;9;1
Epinephelus ongus;23;7;19;1
Epinephelus polyphekadion;39;25;92;6
Epinephelus quoyanus;12;0;2;1
Epinephelus rivulatus;4;0;1;0
Epinephelus socialis;0;0;0;0
Epinephelus spilotoceps;12;4;8;0
Epinephelus striatus;37;40;155;3
Epinephelus tauvina;28;10;7;0
Epinephelus tukula;36;241;550;9
Epinephelus undulatostriatus;3;5;5;1
Equetus punctatus;39;12;46;6
Eubalichthys bucephalus;8;25;48;0
Eubalichthys caeruleoguttatus;0;0;0;0
Eubalichthys cyanoura;1;0;0;0
Eubalichthys gunnii;0;0;0;0
Eubalichthys mosaicus;17;38;82;0
Eucinostomus dowii;2;0;1;0
Eupetrichthys angustipes;4;2;0;0
Euthynnus affinis;87;138;466;29
Euthynnus lineatus;6;1;1;1
Eutrigla gurnardus;22;68;299;13
Eviota albolineata;4;0;0;0
Eviota atriventris;8;0;3;0
Eviota bifasciata;4;0;6;1
Eviota bimaculata;0;0;0;0
Eviota fasciola;2;0;0;1
Eviota guttata;8;0;6;3
Eviota hoesei;5;3;3;1
Eviota lachdeberei;0;0;0;0
Eviota latifasciata;0;0;0;0
Eviota melasma;32;19;14;2
Eviota mikiae;13;5;0;2
Eviota nigriventris;6;1;0;0
Eviota pellucida;18;2;10;2
Eviota prasites;26;22;85;12
Eviota raja;74;584;644;192
Eviota readerae;2;3;3;0
Eviota rubriceps;3;1;0;0
Eviota sebreei;8;7;22;0
Eviota sigillata;12;5;19;1
Eviota storthynx;1;0;0;0
Eviota zebrina;2;0;0;0
Evistias acutirostris;6;1;4;1
Evynnis cardinalis;4;0;1;0
Exallias brevis;31;23;48;5
Exyrias belissimus;2;0;0;0
Favonigobius lateralis;2;0;0;0
Foetorepus calauropomus;3;1;1;1
Forcipiger flavissimus;41;62;101;6
Forcipiger longirostris;39;25;88;8
Forsterygion capito;1;0;0;0
Forsterygion flavonigrum;1;0;0;0
Forsterygion gymnotum;1;0;0;0
Forsterygion lapillum;6;7;35;5
Forsterygion malcolmi;1;0;0;0
Forsterygion maryannae;1;3;13;0
Forsterygion varium;0;0;0;0
Furcina osimae;1;1;1;0
Fusigobius duospilus;2;0;0;0
Fusigobius inframaculatus;7;1;11;0
Fusigobius melacron;1;0;0;0
Fusigobius neophytus;9;5;29;1
Fusigobius signipinnis;5;1;13;4
Gadus morhua;216;505;866;49
Gasterosteus aculeatus;103;196;707;43
Genicanthus caudovittatus;21;1;4;4
Genicanthus lamarck;41;14;37;3
Genicanthus semicinctus;5;0;0;0
Genicanthus watanabei;37;15;69;4
Genypterus tigerinus;2;0;0;2
Gerres cinereus;26;11;44;0
Gerres equulus;6;1;5;0
Gerres subfasciatus;9;1;5;1
Gillellus chathamensis;0;0;0;0
Girella cyanea;3;0;1;0
Girella elevata;29;7;56;7
Girella fimbriata;2;0;0;0
Girella freminvillii;3;2;22;0
Girella nigricans;15;13;37;1
Girella punctata;30;30;103;5
Girella simplicidens;0;0;0;0
Girella tephraeops;1;0;0;0
Girella tricuspidata;17;0;3;2
Girella zebra;39;36;142;10
Glaucosoma hebraicum;6;0;2;0
Glaucosoma magnificum;8;20;75;0
Glaucosoma scapulare;9;2;0;0
Glyptoparus delicatulus;1;0;0;0
Gnathanacanthus goetzeei;2;16;67;1
Gnathanodon speciosus;38;39;143;13
Gnathodentex aureolineatus;13;32;88;0
Gnatholepis anjerensis;4;0;1;0
Gnatholepis cauerensis;6;8;36;3
Gnatholepis thompsoni;5;0;0;0
Gobiesox woodsi;0;0;0;0
Gobioclinus dendriticus;0;0;0;0
Gobiodon citrinus;36;2;17;1
Gobiodon heterospilos;1;0;0;0
Gobiodon histrio;35;12;30;3
Gobiodon okinawae;40;25;59;2
Gobiodon quinquestrigatus;4;0;0;0
Gobiodon spilophthalmus;1;0;0;0
Gobiosoma hildebrandi;0;0;0;0
Gobiosoma spilotum;0;0;0;0
Gobius bucchichi;30;7;51;3
Gobius cruentatus;21;6;53;1
Gobius fallax;8;0;0;0
Gobius niger;24;16;106;6
Gobius paganellus;48;21;100;6
Gobius tetrophthalmus;1;0;0;0
Gobius xanthocephalus;10;0;2;1
Gobiusculus flavescens;16;7;11;2
Gomphosus caeruleus;28;21;54;2
Gomphosus varius;33;42;172;6
Gorgasia galzini;1;0;0;0
Gracila albomarginata;3;25;80;1
Gramma brasiliensis;33;19;32;0
Gramma loreto;53;42;140;6
Grammatorcynus bicarinatus;3;1;0;1
Grammatorcynus bilineatus;4;2;2;1
Grammistes sexlineatus;24;43;124;4
Gunnellichthys monostigma;0;0;0;0
Gymnocaesio gymnoptera;1;1;0;0
Gymnocanthus tricuspis;4;3;20;0
Gymnoclinus cristulatus;0;0;0;0
Gymnocranius audleyi;0;0;0;0
Gymnocranius euanus;2;0;0;0
Gymnocranius microdon;0;0;0;0
Gymnocrotaphus curvidens;0;0;0;0
Gymnomuraena zebra;85;139;262;28
Gymnosarda unicolor;36;59;59;3
Gymnothorax annasona;3;2;3;1
Gymnothorax breedeni;9;5;18;1
Gymnothorax castaneus;17;1;14;1
Gymnothorax cribroris;4;0;0;0
Gymnothorax dovii;5;0;16;1
Gymnothorax eurostus;15;5;9;1
Gymnothorax favagineus;45;56;194;8
Gymnothorax fimbriatus;37;19;173;5
Gymnothorax flavimarginatus;37;37;100;8
Gymnothorax funebris;80;238;842;34
Gymnothorax javanicus;54;109;168;11
Gymnothorax meleagris;35;77;251;14
Gymnothorax miliaris;22;269;1784;289
Gymnothorax moringa;77;33;92;2
Gymnothorax nubilus;4;3;4;0
Gymnothorax obesus;1;0;0;0
Gymnothorax panamensis;4;0;0;0
Gymnothorax pictus;12;3;6;2
Gymnothorax porphyreus;4;1;1;0
Gymnothorax prasinus;33;9;41;3
Gymnothorax prionodon;1;2;4;0
Gymnothorax thyrsoideus;41;21;66;3
Gymnothorax undulatus;41;24;62;4
Gymnothorax zonipectis;7;8;9;0
Haemulon album;11;0;0;0
Haemulon aurolineatum;27;1;5;1
Haemulon carbonarium;8;17;26;1
Haemulon chrysargyreum;19;22;104;3
Haemulon flaviguttatum;1;0;1;0
Haemulon flavolineatum;33;48;90;4
Haemulon macrostomum;10;2;5;2
Haemulon maculicauda;3;0;0;0
Haemulon melanurum;5;4;6;0
Haemulon parra;10;15;25;1
Haemulon plumierii;31;12;6;0
Haemulon sciurus;29;19;86;5
Haemulon scudderii;1;0;1;0
Haemulon sexfasciatum;5;0;1;0
Haemulon steindachneri;5;0;5;1
Haemulon vittatum;12;0;2;0
Haletta semifasciata;3;0;0;0
Halichoeres adustus;2;0;1;0
Halichoeres argus;4;71;276;36
Halichoeres biocellatus;7;12;36;2
Halichoeres bivittatus;74;39;170;27
Halichoeres brasiliensis;9;59;195;3
Halichoeres brownfieldi;1;0;0;0
Halichoeres burekae;13;58;134;7
Halichoeres chierchiae;7;1;6;2
Halichoeres chloropterus;33;0;2;2
Halichoeres chrysus;35;7;26;3
Halichoeres cosmetus;13;3;18;2
Halichoeres dimidiatus;9;13;40;0
Halichoeres discolor;1;0;0;0
Halichoeres dispilus;7;2;6;1
Halichoeres erdmanni;2;1;0;0
Halichoeres garnoti;25;0;1;0
Halichoeres hartzfeldii;3;0;0;0
Halichoeres hortulanus;33;19;83;2
Halichoeres insularis;1;0;0;0
Halichoeres iridis;27;29;90;2
Halichoeres leucoxanthus;12;1;7;0
Halichoeres leucurus;8;0;0;0
Halichoeres maculipinna;8;21;77;2
Halichoeres malpelo;1;0;0;0
Halichoeres margaritaceus;5;15;30;0
Halichoeres marginatus;26;1;5;2
Halichoeres melanochir;2;0;0;0
Halichoeres melanurus;47;54;104;9
Halichoeres melasmapomus;11;4;8;0
Halichoeres miniatus;2;0;0;0
Halichoeres nebulosus;12;2;3;0
Halichoeres nicholsi;4;6;14;0
Halichoeres nigrescens;8;0;7;1
Halichoeres notospilus;0;0;0;0
Halichoeres orientalis;1;0;0;0
Halichoeres ornatissimus;23;25;62;1
Halichoeres pictus;7;0;6;0
Halichoeres poeyi;9;0;5;0
Halichoeres prosopeion;7;23;76;1
Halichoeres radiatus;21;79;232;10
Halichoeres richmondi;7;1;1;0
Halichoeres salmofasciatus;3;0;0;0
Halichoeres scapularis;14;6;24;4
Halichoeres semicinctus;3;0;0;0
Halichoeres socialis;15;19;21;2
Halichoeres solorensis;1;0;0;0
Halichoeres tenuispinis;14;8;47;0
Halichoeres timorensis;6;1;4;0
Halichoeres trimaculatus;15;6;5;2
Halichoeres trispilus;9;0;0;0
Helcogramma chica;0;0;0;0
Helcogramma decurrens;2;2;0;0
Helcogramma maldivensis;3;0;0;0
Helcogramma striata;32;7;34;2
Helcogrammoides cunninghami;9;3;4;0
Helicolenus percoides;10;0;2;1
Helotes sexlineatus;2;0;0;0
Hemiglyphidodon plagiometopon;2;0;1;0
Hemigymnus fasciatus;15;13;52;1
Hemigymnus melapterus;17;30;234;12
Hemilepidotus jordani;0;0;0;0
Hemiramphus depauperatus;1;0;0;0
Hemitaurichthys multispinosus;1;5;31;0
Hemitaurichthys polylepis;39;7;14;3
Hemitaurichthys thompsoni;4;0;0;0
Hemitaurichthys zoster;19;1;1;2
Heniochus acuminatus;71;71;155;4
Heniochus chrysostomus;15;1;3;0
Heniochus diphreutes;39;12;15;0
Heniochus intermedius;34;3;2;2
Heniochus monoceros;23;13;35;1
Heniochus pleurotaenia;5;1;2;2
Heniochus singularius;11;1;4;0
Heniochus varius;20;1;5;3
Heteroclinus adelaidae;1;0;0;0
Heteroclinus johnstoni;1;0;0;0
Heteroclinus perspicillatus;0;0;0;0
Heteroclinus roseus;77;323;496;39
Heteroclinus tristis;1;6;17;2
Heteroconger hassi;134;159;539;34
Heteropriacanthus cruentatus;41;30;29;7
Heteroscarus acroptilus;24;69;242;6
Heterostichus rostratus;17;15;43;1
Hexagrammos agrammus;12;19;43;0
Hexagrammos decagrammus;22;14;73;4
Hexagrammos otakii;38;74;241;4
Hexagrammos stelleri;7;13;36;1
Hipposcarus harid;17;2;13;1
Hipposcarus longiceps;4;6;8;0
Holacanthus bermudensis;35;26;88;6
Holacanthus ciliaris;93;204;806;13
Holacanthus clarionensis;37;68;155;4
Holacanthus passer;34;29;101;3
Holacanthus tricolor;65;52;236;4
Holocentrus adscensionis;41;27;51;3
Holocentrus rufus;48;30;58;5
Hologymnosus annulatus;7;0;2;0
Hologymnosus doliatus;11;6;16;0
Hoplolatilus cuniculus;2;0;0;0
Hoplolatilus starcki;11;0;4;0
Hoplopagrus guentherii;3;0;1;0
Hyperlophus vittatus;2;2;0;1
Hypoatherina barnesi;2;0;0;0
Hypoplectrodes annulatus;3;2;4;0
Hypoplectrodes huntii;2;0;1;1
Hypoplectrodes maccullochi;9;4;11;0
Hypoplectrodes nigroruber;5;0;1;0
Hypoplectrus aberrans;1;0;0;0
Hypoplectrus castroaguirrei;2;0;0;0
Hypoplectrus chlorurus;2;0;1;0
Hypoplectrus gemma;3;0;0;0
Hypoplectrus guttavarius;15;7;66;4
Hypoplectrus indigo;20;23;85;7
Hypoplectrus maya;4;0;0;0
Hypoplectrus nigricans;7;0;1;0
Hypoplectrus providencianus;8;9;13;0
Hypoplectrus puella;27;8;14;1
Hypoplectrus unicolor;19;20;66;4
Hyporhamphus affinis;2;0;0;1
Hyporthodus flavolimbatus;4;1;1;0
Hyporthodus niveatus;18;2;5;0
Hyporthodus octofasciatus;5;0;0;0
Hypsoblennius proteus;0;0;0;0
Hypsurus caryi;4;1;2;0
Hypsypops rubicundus;62;101;213;12
Iniistius celebicus;0;0;0;0
Iniistius pavo;33;55;207;7
Inimicus caledonicus;4;0;0;0
Inimicus filamentosus;21;23;58;4
Isocirrhitus sexfasciatus;0;0;0;0
Istigobius campbelli;1;0;0;1
Istigobius decoratus;3;0;0;0
Istigobius goldmanni;1;5;8;0
Istigobius hoesei;11;2;2;0
Istigobius nigroocellatus;4;0;0;0
Istigobius rigilius;10;1;9;0
Itycirrhitus wilhelmi;0;0;0;0
Jenkinsia lamprotaenia;0;0;0;0
Johnrandallia nigrirostris;21;11;16;0
Jordania zonope;9;16;30;1
Karalepis stewarti;0;0;0;0
Koumansetta hectori;62;27;26;15
Koumansetta rainfordi;41;46;138;2
Kuhlia mugil;18;8;20;5
Kyphosus analogus;4;0;2;1
Kyphosus azureus;9;3;27;2
Kyphosus bigibbus;10;0;6;2
Kyphosus cinerascens;40;57;47;9
Kyphosus cornelii;2;0;0;0
Kyphosus elegans;6;1;5;0
Kyphosus incisor;6;2;13;1
Kyphosus ocyurus;5;0;1;0
Kyphosus sectatrix;39;36;89;1
Kyphosus sydneyanus;2;2;5;0
Labracinus cyclophthalmus;10;31;95;0
Labracinus lineatus;1;0;1;0
Labracoglossa nitida;1;0;0;0
Labrichthys unilineatus;7;5;12;1
Labrisomus cricota;0;0;0;0
Labrisomus jenkinsi;2;5;6;0
Labrisomus multiporosus;1;0;0;0
Labrisomus nuchipinnis;16;2;8;2
Labrisomus socorroensis;0;0;0;0
Labroides bicolor;20;34;110;2
Labroides dimidiatus;79;344;860;43
Labroides pectoralis;3;0;1;1
Labroides phthirophagus;26;24;83;2
Labroides rubrolabiatus;5;0;2;0
Labropsis alleni;1;0;0;0
Labropsis australis;10;1;5;0
Labropsis manabei;0;0;0;0
Labropsis micronesica;2;0;1;0
Labropsis xanthonota;2;1;0;0
Labrus bergylta;88;105;322;17
Labrus merula;33;12;27;7
Labrus mixtus;44;40;130;10
Labrus viridis;19;14;54;9
Lachnolaimus maximus;60;135;377;23
Lactophrys bicaudalis;16;3;22;6
Lactophrys triqueter;68;91;202;8
Lactoria diaphana;27;21;160;2
Lactoria fornasini;35;26;73;5
Larabicus quadrilineatus;16;5;11;1
Latridopsis ciliaris;1;0;0;0
Latridopsis forsteri;9;0;0;0
Latropiscis purpurissatus;15;4;12;0
Leiocottus hirundo;1;0;0;0
Lepidonectes bimaculatus;0;0;0;0
Lepidonectes clarkhubbsi;0;0;0;0
Lepidonectes corallicola;2;0;0;0
Lepidozygus tapeinosoma;3;0;0;0
Leptatherina presbyteroides;0;0;0;0
Leptocottus armatus;17;37;69;4
Leptojulis cyanopleura;1;0;0;0
Leptoscarus vaigiensis;24;23;75;3
Lesueurigobius friesii;2;0;1;1
Lethrinus amboinensis;0;0;0;0
Lethrinus atkinsoni;1;0;0;0
Lethrinus borbonicus;0;0;0;0
Lethrinus erythracanthus;4;0;0;0
Lethrinus erythropterus;0;0;0;0
Lethrinus genivittatus;3;0;1;1
Lethrinus harak;18;64;175;4
Lethrinus laticaudis;1;0;0;0
Lethrinus lentjan;14;2;3;0
Lethrinus microdon;2;0;2;0
Lethrinus miniatus;16;3;9;3
Lethrinus nebulosus;8;3;30;2
Lethrinus obsoletus;2;0;0;0
Lethrinus olivaceus;21;2;20;2
Lethrinus ornatus;8;6;20;1
Lethrinus rubrioperculatus;3;0;0;0
Lethrinus variegatus;4;4;4;2
Lethrinus xanthochilus;5;1;1;0
Leviprora inops;1;0;0;0
Limnichthys fasciatus;2;3;9;0
Liparis montagui;9;18;77;1
Lipophrys pholis;100;412;520;50
Lithognathus lithognathus;16;3;7;2
Lithognathus mormyrus;44;25;73;11
Liza luciae;0;0;0;0
Lotella rhacina;9;5;36;2
Lotilia graciliosa;36;6;19;1
Lucayablennius zingaro;12;4;14;1
Lutjanus alexandrei;7;1;1;0
Lutjanus analis;39;5;40;3
Lutjanus apodus;38;41;194;3
Lutjanus aratus;1;0;1;0
Lutjanus argentimaculatus;41;50;181;4
Lutjanus argentiventris;16;4;13;1
Lutjanus biguttatus;17;23;38;1
Lutjanus bohar;45;101;231;6
Lutjanus boutton;0;0;0;0
Lutjanus campechanus;57;41;201;12
Lutjanus carponotatus;15;4;18;4
Lutjanus cyanopterus;38;15;10;2
Lutjanus decussatus;5;6;20;2
Lutjanus ehrenbergii;13;0;8;1
Lutjanus erythropterus;18;3;4;3
Lutjanus fulviflamma;23;6;28;3
Lutjanus fulvus;13;5;30;1
Lutjanus gibbus;39;45;105;10
Lutjanus griseus;41;111;164;5
Lutjanus guttatus;40;7;11;1
Lutjanus inermis;1;0;0;0
Lutjanus jocu;25;11;79;2
Lutjanus johnii;28;3;5;7
Lutjanus jordani;5;10;4;2
Lutjanus kasmira;57;22;60;4
Lutjanus lemniscatus;0;0;0;0
Lutjanus lutjanus;5;3;0;0
Lutjanus mahogoni;10;4;48;1
Lutjanus monostigma;22;8;20;1
Lutjanus novemfasciatus;3;0;0;0
Lutjanus quinquelineatus;11;104;39;9
Lutjanus rivulatus;10;1;5;0
Lutjanus rufolineatus;1;16;5;1
Lutjanus russellii;29;29;223;2
Lutjanus sebae;65;31;77;6
Lutjanus semicinctus;0;0;0;0
Lutjanus synagris;26;14;56;0
Lutjanus viridis;10;1;6;1
Lutjanus vitta;15;0;18;3
Luzonichthys waitei;5;0;0;0
Luzonichthys whitleyi;1;0;0;0
Lythrypnus dalli;38;10;41;5
Lythrypnus gilberti;8;0;16;1
Lythrypnus insularis;0;0;0;0
Macolor macularis;18;12;72;11
Macolor niger;28;3;21;1
Macrodontogobius wilburi;2;0;0;0
Macropharyngodon bipartitus;38;19;26;3
Macropharyngodon choati;26;10;42;0
Macropharyngodon geoffroy;24;3;8;0
Macropharyngodon kuiteri;7;0;0;0
Macropharyngodon meleagris;36;22;40;1
Macropharyngodon negrosensis;10;0;1;0
Macropharyngodon ornatus;7;0;2;0
Malacanthus brevirostris;7;0;5;0
Malacanthus latovittatus;13;1;1;0
Malacanthus plumieri;13;0;7;1
Malacoctenus boehlkei;3;0;0;0
Malacoctenus ebisui;1;0;0;0
Malacoctenus hubbsi;3;0;9;0
Malacoctenus macropus;3;0;0;0
Malacoctenus margaritae;0;0;0;0
Malacoctenus tetranemus;2;0;0;0
Malacoctenus triangulatus;11;0;4;0
Malacoctenus zonifer;2;0;0;0
Malacoctenus zonogaster;0;0;0;0
Manonichthys splendens;23;8;30;0
Maxillicosta scabriceps;3;0;0;0
Mccoskerichthys sandae;6;36;65;5
Mecaenichthys immaculatus;6;2;4;0
Medialuna californiensis;8;4;8;0
Megalops atlanticus;134;793;2756;53
Meiacanthus abruptus;1;0;0;0
Meiacanthus atrodorsalis;17;11;35;1
Meiacanthus bundoon;3;0;0;0
Meiacanthus crinitus;0;0;0;0
Meiacanthus ditrema;0;0;0;0
Meiacanthus grammistes;31;24;59;3
Meiacanthus kamoharai;26;5;12;1
Meiacanthus lineatus;0;0;0;0
Meiacanthus luteus;0;0;0;0
Meiacanthus mossambicus;5;0;0;0
Meiacanthus naevius;2;0;0;0
Meiacanthus nigrolineatus;11;12;25;2
Meiacanthus oualanensis;11;1;14;2
Meiacanthus phaeus;0;0;0;0
Meiacanthus smithi;16;0;0;0
Meiacanthus tongaensis;4;0;0;0
Melanogrammus aeglefinus;97;228;251;17
Melichthys indicus;11;1;1;1
Melichthys niger;37;39;91;7
Melichthys vidua;30;6;39;5
Mendosoma lineatum;5;0;3;2
Meuschenia australis;0;0;0;0
Meuschenia flavolineata;1;0;0;0
Meuschenia freycineti;12;24;66;0
Meuschenia galii;4;2;40;1
Meuschenia hippocrepis;9;20;62;1
Meuschenia scaber;12;5;16;1
Meuschenia trachylepis;8;10;39;0
Meuschenia venusta;3;0;0;0
Microcanthus strigatus;31;45;180;4
Microgobius microlepis;1;0;1;0
Microlepidotus brevipinnis;1;0;0;0
Microspathodon bairdii;2;0;2;0
Microspathodon chrysurus;30;11;58;7
Microspathodon dorsalis;5;0;1;0
Mimoblennius lineathorax;0;0;0;0
Mola mola;499;8017;20281;1588
Molva molva;106;302;999;57
Monacanthus chinensis;30;9;19;2
Monacanthus tuckeri;32;5;5;0
Monodactylus argenteus;43;20;68;7
Monotaxis grandoculis;31;36;42;5
Monotaxis heterodon;4;12;65;3
Mugil cephalus;240;421;963;81
Mugil curema;75;62;181;20
Mugil galapagensis;2;0;10;0
Mulloidichthys dentatus;2;0;2;0
Mulloidichthys flavolineatus;16;2;10;0
Mulloidichthys martinicus;17;7;48;1
Mulloidichthys mimicus;0;0;0;0
Mulloidichthys vanicolensis;39;46;143;8
Mullus argentinae;1;0;0;0
Mullus surmuletus;74;64;152;19
Muraena argus;5;0;3;2
Muraena augusti;16;4;7;0
Muraena clepsydra;4;0;0;0
Muraena helena;157;210;536;37
Muraena lentiginosa;18;8;30;2
Mycteroperca bonaci;42;11;29;1
Mycteroperca fusca;5;1;1;1
Mycteroperca interstitialis;6;2;3;0
Mycteroperca jordani;12;0;1;0
Mycteroperca microlepis;17;2;5;0
Mycteroperca olfax;7;6;9;0
Mycteroperca rosacea;11;2;14;5
Mycteroperca tigris;31;12;42;0
Mycteroperca xenarcha;14;5;31;8
Myoxocephalus scorpius;35;7;37;5
Myrichthys maculosus;22;17;44;2
Myrichthys tigrinus;14;2;29;1
Myripristis adusta;4;0;1;0
Myripristis amaena;3;1;3;1
Myripristis berndti;24;41;150;0
Myripristis clarionensis;0;0;0;0
Myripristis earlei;1;0;0;0
Myripristis gildi;0;0;0;0
Myripristis hexagona;1;0;1;0
Myripristis jacobus;27;33;54;0
Myripristis kochiensis;0;0;0;0
Myripristis kuntee;8;1;5;0
Myripristis leiognathus;3;0;0;0
Myripristis murdjan;26;60;334;31
Myripristis pralinia;4;45;113;1
Myripristis randalli;1;0;0;0
Myripristis tiki;0;0;0;0
Myripristis violacea;5;0;2;0
Myripristis vittata;2;2;2;0
Nannosalarias nativitatis;1;0;0;0
Naso annulatus;26;161;708;13
Naso brachycentron;5;2;5;1
Naso brevirostris;106;259;708;46
Naso caeruleacauda;2;0;0;1
Naso caesius;16;5;12;8
Naso elegans;75;12;56;5
Naso fageni;3;0;0;0
Naso hexacanthus;25;5;25;3
Naso lituratus;81;30;42;5
Naso thynnoides;1;0;0;0
Naso tonganus;5;3;12;1
Naso unicornis;53;84;226;9
Naso vlamingii;68;25;88;1
Neatypus obliquus;2;0;4;0
Nectamia similis;0;0;0;0
Nelusetta ayraud;11;4;16;6
Nemadactylus bergi;7;0;1;0
Nemadactylus douglasii;46;33;144;5
Nemadactylus macropterus;11;2;6;5
Nemadactylus valenciennesi;0;0;0;0
Nemateleotris magnifica;20;63;285;12
Neocirrhites armatus;24;17;31;2
Neoditrema ransonnetii;11;4;18;0
Neoglyphidodon bonang;2;0;0;0
Neoglyphidodon carlsoni;1;0;0;0
Neoglyphidodon crossi;11;1;1;0
Neoglyphidodon melas;17;4;8;2
Neoglyphidodon nigroris;14;0;0;0
Neoglyphidodon oxyodon;13;1;1;1
Neoglyphidodon polyacanthus;0;0;0;0
Neoglyphidodon thoracotaeniatus;3;0;0;0
Neomyxus leuciscus;1;0;2;0
Neoniphon argenteus;3;0;1;1
Neoniphon marianus;17;9;17;1
Neoniphon opercularis;2;0;2;0
Neoniphon sammara;32;5;12;5
Neoodax balteatus;7;7;20;1
Neopomacentrus anabatoides;1;0;0;0
Neopomacentrus aquadulcis;0;0;0;0
Neopomacentrus azysron;10;1;1;1
Neopomacentrus bankieri;1;0;0;0
Neopomacentrus cyanomos;20;12;20;1
Neopomacentrus filamentosus;1;0;4;1
Neopomacentrus metallicus;0;0;0;0
Neopomacentrus miryae;0;0;0;0
Neopomacentrus nemurus;1;0;0;0
Neopomacentrus violascens;0;0;0;0
Neosebastes pandus;1;1;1;0
Neosebastes scorpaenoides;4;1;5;0
Nesogobius hinsbyi;0;0;0;0
Nesogobius pulchellus;1;0;0;0
Nexilosus latifrons;4;9;25;2
Nicholsina denticulata;1;4;6;1
Notocirrhitus splendens;3;0;0;0
Notoclinops segmentatus;4;0;2;0
Notoclinops yaldwyni;1;0;0;0
Notoclinus fenestratus;1;1;3;0
Notolabrus celidotus;6;0;0;0
Notolabrus cinctus;1;0;0;0
Notolabrus fucicola;8;12;21;0
Notolabrus gymnogenis;15;24;77;1
Notolabrus inscriptus;1;0;0;0
Notolabrus parilus;2;3;9;0
Notolabrus tetricus;5;0;8;0
Novaculichthys taeniourus;32;7;61;4
Oblada melanura;55;23;50;5
Ocyurus chrysurus;42;23;195;5
Odax cyanoallix;2;0;0;0
Odax pullus;11;5;5;2
Odontoscion dentex;8;2;0;1
Odontoscion eurymesops;1;0;0;0
Odontoscion xanthops;0;0;0;0
Odonus niger;37;91;240;10
Ogcocephalus darwini;62;339;1146;74
Ogilbia cocoensis;0;0;0;0
Ogilbia galapagosensis;0;0;0;0
Ogilbichthys ferocis;0;0;0;0
Ogilbyina novaehollandiae;3;0;0;0
Ogilbyina queenslandiae;2;0;1;0
Olisthops cyanomelas;6;3;5;1
Oman ypsilon;20;4;22;6
Omegophora armilla;1;0;0;0
Omegophora cyanopunctata;0;0;0;0
Omobranchus aurosplendidus;0;0;0;0
Omobranchus germaini;4;3;2;0
Omobranchus mekranensis;0;0;0;0
Omobranchus smithi;1;0;0;0
Ophioblennius atlanticus;22;5;9;0
Ophioblennius clippertonensis;1;0;0;0
Ophioblennius steindachneri;16;10;59;3
Ophiodon elongatus;43;102;298;16
Ophthalmolepis lineolata;9;19;68;0
Opisthocentrus ocellatus;12;3;14;0
Opisthocentrus tenuis;8;2;12;0
Opisthocentrus zonope;6;3;15;0
Opistognathus aurifrons;46;58;119;94
Opistognathus darwiniensis;5;4;19;1
Opistognathus randalli;8;2;3;0
Oplegnathus conwayi;0;0;0;0
Oplegnathus insignis;5;1;3;0
Optivus agastos;13;1;2;3
Orthonopias triacis;3;0;7;0
Orthopristis forbesi;0;0;0;0
Ostorhinchus angustatus;1;0;0;0
Ostorhinchus apogonoides;14;8;11;1
Ostorhinchus aureus;35;10;17;2
Ostorhinchus capricornis;5;0;1;0
Ostorhinchus chrysotaenia;4;28;112;0
Ostorhinchus doederleini;11;2;2;1
Ostorhinchus fasciatus;5;5;8;0
Ostorhinchus flavus;1;0;0;0
Ostorhinchus limenus;9;1;2;1
Ostorhinchus luteus;3;0;0;0
Ostorhinchus multilineatus;0;0;0;0
